No.,MW,AMW,nBM,RBN,nDB,nF,nX,C%,N%,O%,nCIC,nCIR,Rbrid,NRS,nBnz,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr06,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr10,D/Dtr11,D/Dtr12,CENT,ICR,Wap,PHI,MAXDN,LOC,MWC07,SRW05,Vindex,Yindex,IC2,CIC1,VE3sign_A,EE_D,VE3sign_D,VE3sign_X,EE_Dt,VE3sign_Dt,H_D/Dt,Chi_D/Dt,J_D/Dt,VE1_D/Dt,VE3sign_D/Dt,SM1_Dz(p),SpMax_B(m),SpMax_B(p),SpMax_B(s),ATS5s,ATSC1m,ATSC1p,ATSC1s,GATS7s,GATS8s,SpMax2_Bh(p),SpMax2_Bh(s),P_VSA_LogP_1,P_VSA_LogP_5,P_VSA_LogP_6,P_VSA_MR_3,P_VSA_MR_4,P_VSA_MR_7,P_VSA_v_4,P_VSA_e_4,P_VSA_i_1,P_VSA_s_1,P_VSA_s_3,P_VSA_s_4,P_VSA_ppp_L,P_VSA_ppp_P,P_VSA_ppp_N,SpMax_EA(dm),SpDiam_AEA(dm),SM15_EA(ed),SM13_EA(dm),SM06_AEA(dm),SM09_AEA(dm),Eig02_EA(dm),nCrs,nCrt,nCconj,nROR,C-005,C-006,C-016,C-025,C-026,H-048,H-051,H-052,H-053,O-060,SdCH2,SssCH2,SdssC,SaasC,SdNH,SsssN,SdsN,SaaN,SaaNH,SaaO,SddssS,NssssC,CATS2D_04_DD,CATS2D_05_DD,CATS2D_08_DD,CATS2D_02_DL,CATS2D_02_AA,CATS2D_09_AA,CATS2D_05_AP,CATS2D_01_AN,CATS2D_02_AL,CATS2D_09_PL,CATS2D_01_LL,CATS2D_03_LL,CATS2D_09_LL,T(N..P),T(N..F),T(N..Cl),T(N..Br),T(O..Cl),T(O..Br),T(S..S),T(S..F),T(S..Cl),T(P..Cl),T(F..Cl),T(Cl..Cl),F02[N-N],F03[C-Cl],F04[C-S],F04[N-O],F04[O-S],F05[O-S],F07[C-Cl],F07[N-O],F08[C-Cl],F08[C-Br],F10[C-S],F10[O-O],MLOGP2,ALOGP,ALOGP2,Class
11,496.55,7.759,18,3,1,0,0,42.2,0,14.1,5,11,3,2,3,0,0,0,326.684,0,0,0,297.491,0,0,2210,2.662,103161,6.028,3.143,0.889,10.048,0,0.208,0.63,5.017,2.253,-3.269,194.412,-5.524,-2.684,581.879,-2.732,2423.511,3.489,23.2594,4.976,-7.465,-2.468,4.088,4.043,7.433,6.6,12.857,6.639,32.993,0.915,1.029,3.86,6.517,48.242,69.804,0,139.05,0,0,0,0,0,0,43.995,95.623,94.931,0,0,1.674,5.873,39.728,0,1.319,0.504,1.151,4,1,1,1,2,0,0,7,4,0,0,6,0,3,0,0,-0.61,3.197,0,0,0,0,0,0,0,1,1,0,1,3,1,4,0,0,13,0,11,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.563,2.747,7.543,Antibacterial
12,484.541,9.889,15,8,4,0,0,36.7,12.2,10.2,4,5,1,3,1,0,65.026,96.392,214.079,0,132.974,0,0,0,0,1826,3.129,26572,7.873,2.722,0.922,9.636,2.398,0.182,0.5,4.939,1.33,-4.822,204.009,-3.825,-3.877,334.854,-5.343,937.467,1.884,13.1847,4.974,-5.092,-2.185,4.027,13.502,7.437,6.333,6.173,7.802,23.149,1.075,0.925,3.902,7.429,8.396,8.841,11.771,42.683,0,52.501,0,0,64.439,0,92.66,60.678,118.191,0,0,3.454,6.622,38.258,11.291,1,0.515,3.264,1,0,3,0,1,2,0,1,0,1,0,0,0,1,0,0.889,-0.688,1.015,0,1.374,0,11.28,0,0,0,0,0,0,0,1,5,4,0,0,5,0,6,3,3,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,1,5,0,4,0,0,1,0,3.549,NA,NA,Antibacterial
13,622.93,6.107,5,7,5,0,0,34.3,0,8.8,2,2,0,2,0,0,0,0,149.848,0,0,0,0,0,0,4190,3.127,27841,14.665,3.049,0.919,9.762,0,0.291,0.819,4.834,3.533,-3.515,312.43,-6.595,-3.777,608.618,-2.394,2378.91,1.935,29.0265,5.734,-2.976,-2.468,3.674,3.558,7.433,6.992,25.655,10.744,33.076,0.945,1.044,3.781,6.471,101.193,17.371,0,203.733,0,52.625,0,0,0,0,23.875,148.574,138.248,0,0,1.674,5.862,39.089,0,1.301,0.77,1.216,8,3,9,3,2,0,5,0,0,0,0,3,2,1,0,0.628,0.997,0,0,0,0,0,0,0,0,1,2,0,0,8,2,4,0,0,15,0,17,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.826,4.75,22.562,Antibacterial
14,765.15,6.073,3,12,3,0,0,34.1,0,8.7,5,5,0,3,0,0,0,153.454,797.633,0,0,0,0,0,0,7262,3.543,194546,13.433,2.623,1.016,10.322,2.398,0.15,0.406,4.491,4.204,-3.769,478.352,-6.309,-9.765,NA,-3.537,2346.343,1.647,15.9214,6.186,-1.97,-2.653,3.764,3.611,7.477,7.106,32.367,13.768,33.016,0.969,1.201,3.82,7.425,97.077,0,0,183.049,0,18.952,0,0,0,0,28.854,116.03,138.841,0,0.91,2.341,6.206,40.974,11.432,1.795,1.489,2.178,14,6,0,5,0,0,2,0,0,0,3,17,4,0,0,5.294,-0.957,0,0,0,0,0,0,0,0,4,0,0,1,6,3,2,0,2,25,0,18,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8.54,6.059,36.709,Antibacterial
15,564.492,10.08,16,11,5,0,0,35.7,10.7,16.1,4,5,1,3,1,0,79.75,118.491,263.469,0,164.353,0,0,0,0,2824,3.136,36172,10.111,3.395,1.196,9.902,2.398,0.19,0.535,5.28,1.268,-3.253,257.515,-6.625,-2.596,400.478,-2.615,1234.443,1.745,14.3062,5.276,-3.875,-2.577,3.999,14.545,7.609,6.651,6.835,164.104,42.303,0.807,1.235,12.351,7.437,19.279,8.841,11.771,22,0,52.501,0,0,32.22,0,70.848,62.085,76.496,0,0,3.287,6.472,41.515,12.466,1.137,0.766,2.588,1,0,3,2,2,2,0,1,1,1,1,0,0,1,0,0.11,-3.878,0.361,0,1.051,0,11.202,0,0,0,1,0,0,0,3,7,5,0,0,9,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,2,0,9,0,0,2,6,1.763,NA,NA,Antibacterial
16,816.1,6.635,10,12,10,0,0,35.8,0.8,10.6,3,3,0,3,0,0,0,195.219,212.579,0,0,0,0,0,0,9258,3.606,83524,18.499,3.286,0.849,10.03,2.398,0.203,0.547,5.269,3.398,-4.582,552.5,-3.121,-4.567,NA,-3.192,3457.744,1.758,26.3629,6.016,-4.037,-2.845,3.729,3.598,7.44,7.272,29.168,12.665,40.226,0.843,0.964,3.784,7.432,101.193,28.371,0,161.05,0,74.334,0,0,0,0,48.73,167.527,162.27,0,0,1.674,5.869,39.115,0,2.004,1.648,1.674,10,3,16,3,2,0,7,0,0,0,2,5,2,2,0,0.589,-1.788,0,0,0,0,0,0,0,0,1,1,0,0,8,3,6,0,0,20,0,19,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.44,4.399,19.349,Antibacterial
17,718.8,7.487,6,12,6,0,0,31.3,4.2,16.7,4,4,0,4,0,0,0,162.617,566.462,0,0,0,0,0,0,6640,3.285,78128,14.022,3.187,1.515,10.007,2.398,0.18,0.5,5.253,2.87,-6.046,413.667,-3.77,-2.871,608.857,-5.924,1965.941,1.602,16.982,6.554,-4.092,-3.118,3.713,3.498,7.447,7.157,21.627,8.466,90.501,1.046,1.006,3.692,7.431,26.476,0,51.36,385.466,0.719,28.429,0,0,0,0,23.459,67.076,59.973,0,0,1.907,5.797,37.175,8.607,1.981,1.224,1.722,11,0,6,4,0,1,3,0,0,4,3,0,2,0,0,-0.844,-3.074,0,0,0.797,0,0,0,0,0,0,4,4,6,4,4,13,0,0,6,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,5,0,0,0,10,14.12,-4.534,20.556,Antibacterial
18,460.48,8.079,11,2,5,0,0,38.6,3.5,15.8,4,10,3,1,1,0,0,0,227.855,0,0,0,278.767,0,0,1325,2.493,48224,5.146,4.273,0.927,10.138,0,0.266,0.841,5.122,1.638,-4.265,155.858,-5.367,-2.259,496.411,-4.634,2247.342,3.611,25.9958,4.974,-5.02,-2.565,4.005,3.937,7.451,7.154,11.047,5.394,69.861,1.138,1.026,3.822,7.427,25.618,15.867,0,128.05,0,0,0,0,0,0,27.714,57.171,49.996,32.897,0,1.91,6.381,41.993,8.345,0.99,-0.058,1.048,2,4,7,0,2,0,0,2,1,0,0,3,1,0,0,0,-7.562,-0.91,0,1.293,0,0,0,0,0,2,3,6,0,11,0,2,2,0,15,2,5,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,2,2.556,-2.11,4.453,Antibacterial
19,550.62,7.866,2,9,2,0,0,24.3,5.7,20,3,3,0,3,0,0,0,102.171,250.394,0,0,0,0,0,0,2690,2.686,21920,9.982,5.916,1.258,9.71,2.398,0.249,0.729,4.702,2.733,-6.586,217.159,-6.398,-3.015,357.235,-4.23,1111.613,1.758,16.7044,4.53,-3.717,-2.986,4.713,3.754,7.775,6.683,20.259,5.915,114.201,0.869,1.013,3.716,6.999,0,0,23.542,347.96,0.719,3.043,0,0,3.043,3.043,4.64,0,2.535,98.692,3.043,4.288,7.174,36.82,0,0.845,0.377,1.392,13,0,0,4,0,2,0,0,0,2,0,0,2,0,0,-1.119,0,0,0,0,0,0,0,0,-4.999,0,4,3,8,2,8,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,9,0,0,1,10,20.496,-7.343,53.915,Antibacterial
20,1665.11,8.367,45,12,19,0,0,36.2,9.5,9,10,89,19,2,0,0,0,711.705,494.278,0,0,0,287.542,0,0,49272,3.743,25018035,28.766,3.458,1.232,10.901,3.932,0.103,0.291,6.026,3.216,-10.474,NA,-14.791,-7.211,NA,-26.382,34543.904,4.015,44.8898,8.105,-25.891,-3.467,4.241,3.904,7.455,7.909,38.301,18.308,98.797,1.039,0.842,3.935,7.435,88.252,67.483,47.084,213.417,0,123.383,0,0,157.33,0,266.312,156.753,344.763,32.897,0,3.383,6.542,41.191,10.351,2.746,2.6,1.985,13,1,19,0,0,1,3,2,0,4,2,24,0,1,10.694,-0.077,-12.962,-1.518,0,0,9.805,23.66,0,0,0,2,2,0,1,14,1,11,1,0,14,0,9,9,20,0,0,0,0,0,0,98,0,0,0,0,0,0,0,13,4,6,5,0,9,0,0,20,6,53.604,-0.4,0.16,Antibacterial
