,MW,AMW,nBM,H%,C%,N%,O%,X%,nCsp3,nCIR,TRS,Rbrid,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr10,D/Dtr11,D/Dtr12,Wap,S3K,SRW09,X2v,X5v,EE_Dt,J_D/Dt,EE_Dz(v),ChiA_Dz(p),ATSC1m,ATSC1s,P_VSA_LogP_1,P_VSA_LogP_2,P_VSA_LogP_3,P_VSA_LogP_4,P_VSA_LogP_5,P_VSA_LogP_6,P_VSA_LogP_8,P_VSA_MR_7,P_VSA_MR_8,P_VSA_m_4,P_VSA_m_5,P_VSA_v_3,P_VSA_e_3,P_VSA_e_6,P_VSA_s_3,SpMax_EA(ed),SM13_EA(bo),SM07_EA(dm),H-052,SssCH2,SsssCH,SaaN,SsOH,SssO,CATS2D_02_AL,CATS2D_03_AL,CATS2D_06_AL,CATS2D_01_LL,CATS2D_09_LL,T(N..S),T(N..P),T(N..F),T(N..Cl),T(N..Br),T(N..I),T(O..P),T(O..Cl),T(O..Br),T(S..F),T(F..Cl),T(Cl..Cl),F03[C-N],MLOGP2,ALOGP2,Class,Label
508,158.27,5.458,1,62.1,31,0,6.9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,194,7.534,0,3.153,0.307,36.591,10,40.241,0.022,7.157,3.75,26.476,12.196,0,32.336,11,0,0,0,0,0,0,45.863,0,0,19.387,6.081,13.538,6.158,2,2.977,0.615,0,0,4.954,3,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.651,7.424,FlavorsandFragrances,3
456,251.16,8.97,12,42.9,50,0,0,7.1,2,2,12,0,0,0,0,0,0,0,0,0,0,1988,3.006,0,4.497,1.337,109.961,11.0649,49.218,0.022,4.09,3.189,0,5.069,75.81,0,13.372,0,78.297,78.297,0,78.297,0,172.549,0,0,18.441,8.674,17.907,0,0,1.84,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,7,0,29.734,31.244,FlavorsandFragrances,3
854,170.28,5.676,2,60,33.3,0,6.7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,277,10.496,0,2.989,0.649,47.911,11,46.931,0.023,7.227,6.747,0,33.509,9.476,68.738,0,0,0,9.476,0,0,0,43.895,0,0,18.652,5.184,12.949,5.889,0,6.816,0,0,8.341,0,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.621,10.496,FlavorsandFragrances,3
821,88.12,6.294,1,57.1,28.6,0,14.3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,32,5.016,0,0.925,0,11.059,5,12.682,0.063,3.282,3.166,17.65,4.592,0,32.336,11,0,0,0,0,0,0,29.434,0,0,11.784,5.118,12.932,6.158,3,0.481,0,0,0,4.403,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344,0.137,FlavorsandFragrances,3
609,155.24,8.171,6,47.4,36.8,5.3,5.3,0,3,1,5,0,0,0,26.267,0,0,0,0,0,0,288,1.496,6.783,3.407,0.875,37.734,8.7974,19.309,0.06,4.018,2.471,26.476,0,0,47.994,2.757,1.358,0,16.786,31.278,31.278,0,67.932,16.786,0,41.456,9.658,18.205,0,0,0,0,4.13,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.344,0.74,FlavorsandFragrances,3
539,134.22,7.457,1,55.6,27.8,0,11.1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,70,3.662,0,2.203,0.195,18.181,7,20.093,0.045,4.949,5.163,17.65,4.592,0,43.155,11,0,0,0,38.564,38.564,0,67.998,0,0,11.784,7.405,14.399,6.73,6,0.434,-0.296,0,0,4.588,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991,1.588,FlavorsandFragrances,3
770,59.13,4.548,0,69.2,23.1,7.7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,3.339,0,1.342,0,4.663,3,6.095,0.173,3.116,3.355,25.189,0,0,0,3.124,0,0,0,0,0,0,25.189,3.124,0,0,4,9.011,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.102,FlavorsandFragrances,3
638,166.25,6.394,6,53.8,34.6,7.7,3.8,0,5,1,6,0,0,0,0,0,0,0,0,0,0,520,2.561,0,3.11,0.614,57.696,10.274,34.045,0.03,6.181,6.337,28.533,2.535,0,57.113,31.851,4.815,0,33.571,0,0,0,56.734,33.571,0,10.106,9.064,17.324,0,0,0.914,0.579,8.268,0,5.073,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.472,2.921,FlavorsandFragrances,3
838,142.27,5.081,1,64.3,32.1,0,3.6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,131,6.675,0,4.272,0.284,27.163,9,26.435,0.043,6.707,6.859,35.301,5.069,0,48.34,0,0,0,11.424,0,0,0,51.794,0,0,5.069,10.151,14.849,0,0,1.836,0.539,0,0,0,1,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.983,6.568,FlavorsandFragrances,3
703,141.26,7.063,5,55,35,5,0,0,4,1,5,0,0,0,22.967,0,0,0,0,0,0,219,1.584,6.555,3.372,0.759,32.08,7.9975,17.58,0.066,5.324,3.983,26.476,0,7.649,17.715,2.757,11.771,0,16.786,31.278,31.278,0,69.089,16.786,0,34.964,8.433,17.19,0,0,0,0.587,4.329,0,0,3,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1.679,3.835,FlavorsandFragrances,3
461,122.19,6.431,6,52.6,36.8,10.5,0,0,3,1,6,0,0,0,0,0,0,0,0,0,0,243,1.257,0,2.182,0.387,36.247,8.998,16.631,0.062,4.348,4.097,26.476,0,0,45.342,17.318,0,0,33.571,0,0,0,43.793,33.571,0,8.27,8.193,17.52,0,0,0,0,8.326,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.101,0.142,FlavorsandFragrances,3
599,170.28,5.676,1,60,33.3,0,6.7,0,9,1,6,0,0,0,0,0,0,0,0,0,0,536,3.744,0,3.5,1.046,58.853,9.649,40.922,0.024,7.551,2.85,8.825,17.742,0,32.336,11,0,0,0,0,0,0,33.758,0,0,24.933,7.438,13.984,6.158,4,7.498,0.234,0,0,5.194,4,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.238,9.015,FlavorsandFragrances,3
847,116.18,5.809,1,60,30,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,71,4.636,0,2.174,0.167,18.396,7,19.889,0.049,4.856,3.488,28.533,2.535,0,32.336,11,0,0,0,0,0,0,38.259,0,0,9.726,6.429,13.654,6.158,0,0.524,0.405,0,0,4.422,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.886,1.949,FlavorsandFragrances,3
721,122.13,8.142,7,40,46.7,0,13.3,0,0,1,5,0,0,0,23.84,0,0,0,0,0,0,230,1.665,6.26,1.511,0.194,34.485,7.5471,18.152,0.053,2.402,0.66,0,0,49.644,48.34,9.507,17.22,0,30.377,0,0,0,66.517,0,0,5.449,6.996,16.41,0,0,0,0,0,0,0,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,1.808,FlavorsandFragrances,3
756,130.21,5.661,1,60.9,30.4,0,8.7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,98,3.253,0,2.213,0.177,22.679,8,24.252,0.042,5.628,4.1,28.533,5.069,0,32.336,11,0,0,0,0,0,0,40.794,0,0,12.26,7.853,14.507,6.158,0,1.961,0.069,0,0,4.526,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.981,4.256,FlavorsandFragrances,3
437,172.25,6.152,1,57.1,32.1,0,10.7,0,8,1,5,0,0,0,36.066,0,0,0,0,0,0,465,3.716,6.26,3.068,0.494,53.384,8.5366,45.869,0.018,7.007,2.883,8.825,19.323,0,43.336,11,0,0,0,0,0,0,35.339,0,0,26.514,7.054,13.739,6.158,4,4.751,0.158,0,0,10.307,4,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.321,2.259,FlavorsandFragrances,3
774,128.24,5.13,1,64,32,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,108,7.701,0,2.708,0.287,24.79,8,23.532,0.047,6.074,5.594,26.476,5.069,52.16,0,3.186,0,0,9.476,0,0,0,44.206,0,0,8.255,5.359,13.832,0,5,1.88,-0.152,0,8.836,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.532,5.118,FlavorsandFragrances,3
584,154.28,5.32,2,62.1,34.5,0,3.4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,220,9.416,0,2.711,0.502,41.638,10,38.271,0.029,6.886,5.254,8.825,15.207,18.952,48.34,0,0,0,30.377,0,0,0,54.409,0,0,15.207,3.792,0,0,0,6.64,0,0,0,0,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98,10.454,FlavorsandFragrances,3
726,240.43,5.343,2,62.2,33.3,0,4.4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,704,11.637,0,5.077,0.864,86.106,16,89.104,0.011,11.092,6.448,35.301,19.8,9.476,32.336,14.185,0,0,9.476,0,0,0,74.954,0,0,30.176,6.205,14.399,6.158,2,6.434,0.629,0,0,5.188,3,3,3,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15.502,25.075,FlavorsandFragrances,3
716,226.4,5.39,2,61.9,33.3,0,4.8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,538,9.391,0,4.112,0.731,69.976,15,70.599,0.014,10.516,6.317,44.126,14.254,19.312,22,6.371,11.771,0,18.952,0,0,0,84.063,0,0,20.625,7.368,15.05,4.275,6,3.53,-0.179,0,0,10.933,4,2,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10.726,16.884,FlavorsandFragrances,3
666,100.13,6.675,2,53.3,33.3,0,13.3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,56,5.351,0,1.264,0.096,16.625,6,15.266,0.067,3.155,4.311,0,7.604,0,96.68,0,0,0,22.848,0,0,0,30.452,0,0,7.604,3.414,0,0,0,1.727,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.02,FlavorsandFragrances,3
701,152.16,8.008,7,42.1,42.1,0,15.8,0,1,1,5,0,0,0,31.524,0,0,0,0,0,0,358,2.147,6.293,1.864,0.242,45.082,8.2759,32.465,0.026,3.328,6.489,0,20.359,40.168,32.336,20.507,17.22,0,9.476,0,0,0,73.168,0,0,17.233,8.549,16.987,0,0,0.208,0,0,0,4.685,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649,2.881,FlavorsandFragrances,3
690,138.18,6.909,6,50,40,0,10,0,3,1,5,0,0,0,26.267,0,0,0,0,0,0,288,1.356,6.783,2.383,0.424,37.734,8.7974,19.977,0.052,4.313,2.76,26.476,0,9.476,30.278,12.693,10.898,0,0,0,0,0,55.169,0,0,19.217,9.658,18.205,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.846,0.931,FlavorsandFragrances,3
667,98,12.25,1,37.5,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4.117,0,1.54,0,6.608,4,6.515,0.212,2.823,48.34,0,0,111.396,20.263,0,0,0,0,0,0,0,0,0,0,0,9,16.816,0,0,0,0,0,21.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.251,2.486,FlavorsandFragrances,3
440,144.24,5.548,1,61.5,30.8,0,7.7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,143,6.636,0,2.827,0.3,29.688,9,32.925,0.027,6.395,3.72,26.476,9.661,0,32.336,11,0,0,0,0,0,0,43.328,0,0,16.853,6.16,13.56,6.158,1,1.975,0.445,0,0,4.905,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.244,5.457,FlavorsandFragrances,3
569,206.26,7.112,8,48.3,41.4,0,10.3,0,3,1,6,0,0,0,0,0,0,0,0,0,0,932,3.312,0,3.072,0.78,78.219,11.6439,52.074,0.018,6.073,6.082,19.708,18.301,37.905,32.336,35.672,0,0,9.476,0,0,0,96.778,0,0,23.398,9.238,17.752,6.158,0,0.761,0,0,0,10.101,4,4,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62,6.704,FlavorsandFragrances,3
745,206.31,6.252,7,54.5,39.4,0,6.1,0,6,1,6,0,0,0,0,0,0,0,0,0,0,898,4.753,0,3.563,0.799,83.328,10.4188,63.52,0.014,7.692,4.152,8.825,14.731,47.381,32.336,14.185,0,0,0,0,0,0,81.314,0,0,25.107,8.537,16.834,0,2,5.05,0,0,0,5.136,3,5,2,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12.239,15.417,FlavorsandFragrances,3
520,177.22,7.384,8,45.8,41.7,4.2,8.3,0,2,1,6,0,0,0,0,0,0,0,0,0,0,601,3.631,0,2.742,0.473,63.051,9.6851,38.98,0.025,4.738,8.045,8.825,2.535,47.381,30.278,62.226,0,0,0,0,0,0,66.631,16.786,0,10.425,7.46,16.577,5.798,0,-0.005,0,0,9.202,0,5,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.001,2.026,FlavorsandFragrances,3
618,110.13,7.866,6,42.9,35.7,14.3,7.1,0,1,1,6,0,0,0,0,0,0,0,0,0,0,184,1.262,0,1.248,0.208,31.311,8.1463,16.412,0.054,2.593,2.491,10.883,0,0,68.884,38.142,4.815,0,33.571,0,0,0,42.84,33.571,0,4.815,6.822,15.875,0,0,0,0,7.581,0,4.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.028,0.003,FlavorsandFragrances,3
871,98.16,5.774,2,58.8,35.3,0,5.9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,56,5.416,0,1.282,0.136,16.625,6,14.273,0.077,3.85,3.972,8.825,5.069,18.952,48.34,0,0,0,30.377,0,0,0,44.271,0,0,5.069,3.414,0,0,0,1.585,0,0,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.781,1.984,FlavorsandFragrances,3
616,272.42,6.191,9,54.5,40.9,0,4.5,0,7,1,6,0,0,0,0,0,0,0,0,0,0,1864,8.205,0,5.216,1,133.558,12.4191,104.859,0.009,10.194,6.595,26.476,12.196,66.334,32.336,20.557,0,0,18.952,0,0,0,121.753,0,0,28.944,7.392,16.32,6.312,0,2.766,0,0,0,5.213,3,3,5,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,18.592,25.123,FlavorsandFragrances,3
796,107.17,6.304,6,52.9,41.2,5.9,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,184,1.318,0,1.715,0.331,31.311,8.1463,13.19,0.083,3.849,4.093,8.825,2.535,18.952,40.328,21.28,0,0,16.786,0,0,0,51.593,16.786,0,5.72,6.822,15.875,0,0,1.077,0,3.956,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.438,2.63,FlavorsandFragrances,3
532,98.16,5.774,2,58.8,35.3,0,5.9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,50,3.24,0,1.474,0.048,14.864,6,12.548,0.091,3.85,3.96,17.65,2.535,9.476,48.34,3.186,0,0,20.9,0,0,0,44.271,0,0,5.72,5.858,14.521,0,0,0.949,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.781,3.312,FlavorsandFragrances,3
836,236.44,5.254,0,62.2,35.6,0,2.2,0,16,4,16,2,0,0,70.602,0,0,0,0,0,0,4227,1.767,7.743,7.687,4.168,120.708,11.6831,59.689,0.019,11.882,4.48,26.476,15.207,42.683,0,0,0,0,0,0,0,0,41.683,0,0,15.207,13.957,16.814,0,4,7.736,4.614,0,9.879,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94,14.766,FlavorsandFragrances,3
389,106.13,7.581,7,42.9,50,0,7.1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,184,1.18,0,1.529,0.302,31.311,8.1463,12.014,0.088,2.421,1.107,0,0,47.381,48.34,3.186,0,0,11.424,0,0,0,61.991,0,0,3.186,6.822,16.081,0,0,0,0,0,0,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.129,2.526,FlavorsandFragrances,3
714,120.26,8.59,0,57.1,28.6,0,0,0,4,1,6,0,0,0,0,0,0,0,0,0,0,90,1.822,0,3.674,2.25,21,7.5,8.109,0.148,3.827,1.156,0,3.599,0,0,0,0,0,0,64.439,64.439,0,68.038,0,0,68.038,4,0,0,0,5.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.031,1.507,FlavorsandFragrances,3
692,116.1,9.675,3,33.3,16.7,33.3,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,6.141,0,0.876,0.049,19.111,7,20.851,0.042,1.657,21.416,0,65.794,0,50.29,0,41.878,0,33.326,0,0,0,8.552,99.12,0,8.552,5.547,14.64,3.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.707,0.038,FlavorsandFragrances,3
853,116.18,5.809,1,60,30,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,76,4.636,0,1.574,0.186,19.763,7,22.198,0.038,4.856,2.51,17.65,9.661,0,32.336,11,0,0,0,0,0,0,34.503,0,0,16.853,5.887,13.423,6.158,2,1.957,0,0,0,4.701,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.886,2.435,FlavorsandFragrances,3
544,118.22,6.954,1,58.8,29.4,0,5.9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,52,6.026,0,2.43,0.431,15.405,6,14.029,0.083,4.693,2.118,16.016,3.434,0,30.278,0,0,0,0,32.22,32.22,0,56.803,0,0,40.787,5.17,12.947,5.379,0,1.691,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.133,0.236,FlavorsandFragrances,3
601,142.22,5.926,2,58.3,33.3,0,8.3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,135,3.947,0,2.177,0.244,28.172,9,29.667,0.032,5.718,5.095,17.65,22.894,9.476,32.336,11,0,0,9.476,0,0,0,57.212,0,0,14.318,7.921,14.563,6.158,3,1.152,-0.044,0,0,4.769,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.813,4.084,FlavorsandFragrances,3
621,154.18,7.342,6,47.6,38.1,0,14.3,0,3,1,5,0,0,0,31.888,0,0,0,0,0,0,372,2.659,6.26,2.094,0.274,46.13,8.1857,34.735,0.023,4.357,4.378,8.825,7.127,30.692,32.336,20.507,17.22,0,0,0,0,0,59.284,0,0,19.767,7.048,16.245,6.176,0,0.639,0,0,0,4.803,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395,2.778,FlavorsandFragrances,3
562,238.41,5.544,3,60.5,34.9,0,4.7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,678,8.877,0,4.86,0.727,82.617,16,83.584,0.011,10.458,7.051,44.126,12.196,18.952,32.336,17.371,0,0,18.952,0,0,0,88.837,0,0,25.758,7.86,16.029,0,2,3.746,0.601,0,0,5.17,3,5,3,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14.749,24.746,FlavorsandFragrances,3
814,242.29,7.572,13,43.8,46.9,0,9.4,0,2,2,12,0,0,0,0,0,0,0,0,0,0,2467,3.515,0,3.787,0.992,127.289,11.1931,73.926,0.012,6.035,4.518,10.883,2.535,85.286,32.336,35.672,0,0,0,0,0,0,119.568,0,0,23.398,9.093,17.6,6.296,0,0.249,0,0,0,10.396,4,6,4,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10.254,10.761,FlavorsandFragrances,3
488,222.26,7.409,8,46.7,40,0,13.3,0,4,1,6,0,0,0,0,0,0,0,0,0,0,1074,3.25,0,3.604,0.718,85.414,12.0855,59.275,0.015,5.97,5.086,28.533,0,28.429,80.676,35.672,0,0,11.424,0,0,0,89.25,0,0,20.864,9.288,17.82,6.158,0,0,-0.213,0,0,10.15,5,10,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.133,6.101,FlavorsandFragrances,3
452,246.43,5.601,2,59.1,38.6,0,2.3,0,14,6,16,3,0,0,57.064,40.599,46.609,0,60.118,0,0,5083,1.348,8.026,7.737,4.53,151.06,16.0437,53.215,0.021,11.177,6.427,44.126,10.138,0,30.278,6.371,0,0,0,0,0,0,65.769,0,0,21.643,16.286,18.286,0,0,5.155,2.281,0,0,0,2,2,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.864,13.498,FlavorsandFragrances,3
484,122.28,7.643,0,62.5,25,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,35,5.971,0,3.673,0.75,12.109,5,10.614,0.133,7.889,2.463,16.016,3.434,0,0,0,0,0,0,60.363,60.363,0,79.813,0,0,63.798,3.162,0,0,2,2.59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.301,5.1,FlavorsandFragrances,3
723,126.22,5.488,2,60.9,34.8,0,4.3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,120,7.416,0,2.06,0.335,27.742,8,25.035,0.044,5.374,4.688,8.825,10.138,18.952,48.34,0,0,0,30.377,0,0,0,49.34,0,0,10.138,3.672,0,0,0,4.769,0,0,0,0,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.086,7.52,FlavorsandFragrances,3
463,192.28,6.409,7,53.3,40,0,6.7,0,5,1,6,0,0,0,0,0,0,0,0,0,0,734,4.621,0,3.739,0.71,71.93,10.0298,51.715,0.018,6.864,4.621,17.65,7.127,47.381,32.336,14.185,0,0,0,0,0,0,82.535,0,0,17.504,7.397,16.097,6.296,1,0.874,0.398,0,0,5.068,3,4,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8.753,8.48,FlavorsandFragrances,3
688,120.16,7.068,7,47.1,47.1,0,5.9,0,1,1,6,0,0,0,0,0,0,0,0,0,0,250,1.688,0,1.856,0.405,37.505,8.3809,16.903,0.064,3.321,2.995,0,2.535,47.381,48.34,3.186,0,0,11.424,0,0,0,64.525,0,0,5.72,6.951,15.915,0,0,0.529,0,0,0,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.365,2.3,FlavorsandFragrances,3
742,86.15,5.384,1,62.5,31.3,0,6.3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,31,2.675,0,1.522,0,10.742,5,10.104,0.11,3.714,4.341,17.65,2.535,0,48.34,0,0,0,11.424,0,0,0,31.609,0,0,2.535,5.653,11.595,0,0,0.962,0.255,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.133,1.969,FlavorsandFragrances,3
744,138.23,5.76,5,58.3,37.5,0,4.2,0,5,1,5,0,0,0,27.924,0,0,0,0,0,0,305,2.725,6.26,2.536,0.486,41.31,7.8226,27.102,0.038,5.936,4.778,8.825,10.138,30.692,0,9.507,17.22,0,0,0,0,0,55.104,0,0,15.587,6.997,16.175,0,0,4.937,0,0,0,0,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.789,9.702,FlavorsandFragrances,3
536,270.41,6.009,2,57.8,33.3,0,8.9,0,13,1,17,0,0,0,0,0,0,0,0,0,0,2943,9.803,0,5.123,1.449,226.215,23.8403,91.04,0.009,11.147,2.686,0,37.065,0,64.673,22,0,0,0,0,0,0,51.447,0,0,51.447,6.134,14.196,6.85,0,11.495,0,0,0,9.999,4,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.364,16.131,FlavorsandFragrances,3
576,176.23,7.049,8,48,44,0,8,0,2,1,6,0,0,0,0,0,0,0,0,0,0,649,4.237,0,2.616,0.547,67.431,9.5701,44.04,0.021,5.122,3.668,8.825,4.592,66.334,32.336,14.185,0,0,18.952,0,0,0,90.128,0,0,14.969,6.966,16.21,6.176,0,0.338,0,0,0,4.738,3,1,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.717,4.295,FlavorsandFragrances,3
750,228.42,5.191,1,63.6,31.8,0,4.5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,631,12.636,0,4.445,0.975,82.402,15,87.87,0.011,10.935,5.226,17.65,29.938,0,32.336,11,0,0,0,0,0,0,54.779,0,0,37.129,6.092,13.503,6.158,2,11.849,0,0,0,5.156,3,3,4,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,22.095,27.145,FlavorsandFragrances,3
695,88.12,6.294,1,57.1,28.6,0,14.3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31,2.636,0,0.93,0,10.742,5,11.975,0.075,3.282,2.916,19.708,2.535,0,32.336,11,0,0,0,0,0,0,29.434,0,0,9.726,5.653,13.341,6.158,0,0.469,0,0,0,4.26,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344,0.473,FlavorsandFragrances,3
615,154.25,7.713,6,50,40,0,5,0,3,1,5,0,0,0,26.267,0,0,0,0,0,0,288,1.525,6.783,3.844,0.925,37.734,8.7974,18.797,0.064,4.592,2.254,26.476,0,9.476,30.278,3.186,2.717,0,0,31.278,31.278,0,78.265,0,0,42.314,9.658,18.205,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.242,2.319,FlavorsandFragrances,3
699,210.3,6.373,6,54.5,36.4,0,9.1,0,6,1,6,0,0,0,0,0,0,0,0,0,0,975,3.998,0,3.412,0.801,82.768,11.2238,61.722,0.015,8.005,7.173,19.708,14.254,28.429,53.683,19.429,0,0,0,0,0,0,70.82,0,0,22.683,8.757,17.642,0,2,3.56,0,0,9.379,10.47,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.753,7.177,FlavorsandFragrances,3
551,114.21,5.191,1,63.6,31.8,0,4.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,84,6.914,0,1.772,0.254,21.836,7,20.671,0.053,5.328,4.054,8.825,7.604,61.636,0,0,0,0,18.952,0,0,0,35.381,0,0,7.604,3.57,0,0,2,3.419,0,0,8.314,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.223,3.59,FlavorsandFragrances,3
837,146.28,6.36,1,60.9,30.4,0,4.3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,92,4.524,0,4.356,0.305,21.184,8,19.73,0.061,6.432,4.321,33.666,2.535,0,30.278,0,0,0,0,32.22,32.22,0,73.554,0,0,39.888,10.901,15.341,5.379,6,0.675,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.223,1.14,FlavorsandFragrances,3
432,228.42,5.191,1,63.6,31.8,0,4.5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,619,12.636,0,4.921,0.903,80.566,15,85.755,0.011,10.935,5.614,26.476,24.869,0,32.336,11,0,0,0,0,0,0,58.536,0,0,32.06,6.106,13.548,6.158,2,9.477,0.613,0,0,5.142,3,3,4,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,22.095,25.057,FlavorsandFragrances,3
611,142.22,5.926,1,58.3,33.3,0,8.3,0,7,1,6,0,0,0,0,0,0,0,0,0,0,308,2.081,0,2.858,1.041,41.882,8.7761,26.66,0.037,5.974,2.959,10.883,12.673,0,32.336,11,0,0,0,0,0,0,30.747,0,0,19.864,8.488,14.675,6.158,0,5.742,0.207,0,0,4.651,2,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.782,4.612,FlavorsandFragrances,3
