,MW,AMW,nBM,H%,C%,N%,O%,X%,nCsp3,nCIR,TRS,Rbrid,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr10,D/Dtr11,D/Dtr12,Wap,S3K,SRW09,X2v,X5v,EE_Dt,J_D/Dt,EE_Dz(v),ChiA_Dz(p),ATSC1m,ATSC1s,P_VSA_LogP_1,P_VSA_LogP_2,P_VSA_LogP_3,P_VSA_LogP_4,P_VSA_LogP_5,P_VSA_LogP_6,P_VSA_LogP_8,P_VSA_MR_7,P_VSA_MR_8,P_VSA_m_4,P_VSA_m_5,P_VSA_v_3,P_VSA_e_3,P_VSA_e_6,P_VSA_s_3,SpMax_EA(ed),SM13_EA(bo),SM07_EA(dm),H-052,SssCH2,SsssCH,SaaN,SsOH,SssO,CATS2D_02_AL,CATS2D_03_AL,CATS2D_06_AL,CATS2D_01_LL,CATS2D_09_LL,T(N..S),T(N..P),T(N..F),T(N..Cl),T(N..Br),T(N..I),T(O..P),T(O..Cl),T(O..Br),T(S..F),T(F..Cl),T(Cl..Cl),F03[C-N],MLOGP2,ALOGP2,Class,Label
866,188.25,6.491,1,55.2,31,0,13.8,0,8,1,5,0,0,0,38.333,0,0,0,0,0,0,533,3.066,6.783,3.355,0.646,55.611,9.4347,48.751,0.018,7.169,6.057,26.476,11.719,0,54.336,11,0,0,0,0,0,0,45.386,0,0,18.911,12.034,15.842,6.158,6,1.089,0.055,0,0,15.595,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559,0.312,FlavorsandFragrances,3
620,174.21,7.574,8,43.5,47.8,0,8.7,0,2,3,11,1,0,0,22.547,0,0,42.396,0,0,0,1326,1.295,7.018,2.912,0.898,88.703,13.2324,31.512,0.033,4.296,3.106,8.825,2.535,47.381,37.58,17.371,0,0,14.72,0,0,0,77.547,0,0,21.34,10.905,18.381,0,0,0.872,0,0,0,5.094,4,5,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.178,6.485,FlavorsandFragrances,3
737,186.33,5.324,1,62.9,31.4,0,5.7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,324,9.551,0,3.86,0.513,51.865,12,56.231,0.016,8.673,4.581,26.476,17.265,0,32.336,11,0,0,0,0,0,0,50.932,0,0,24.456,6.106,13.548,6.158,2,5.393,0.614,0,0,5.06,3,3,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8.834,13.228,FlavorsandFragrances,3
450,124.16,7.304,6,47.1,35.3,11.8,5.9,0,2,1,6,0,0,0,0,0,0,0,0,0,0,247,1.239,0,1.651,0.256,37.216,8.9209,19.469,0.048,3.546,3.265,19.708,0,0,57.113,31.851,4.815,0,33.571,0,0,0,45.374,33.571,0,7.571,8.475,17.203,0,0,0,0,7.874,0,4.871,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.044,0.112,FlavorsandFragrances,3
793,220.34,6.121,7,55.6,38.9,0,5.6,0,7,1,6,0,0,0,0,0,0,0,0,0,0,950,4.971,0,4.646,0.894,83.442,10.903,62.579,0.015,8.51,6.359,26.476,7.604,47.381,32.336,14.185,0,0,0,0,0,0,91.837,0,0,17.981,11.183,16.508,6.158,8,2.085,0,0,0,5.443,5,3,3,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12.208,13.187,FlavorsandFragrances,3
473,136.21,6.191,6,54.5,40.9,0,4.5,0,3,1,6,0,0,0,0,0,0,0,0,0,0,314,1.218,0,2.673,0.547,42.116,9.8061,18.444,0.061,5.16,6.034,26.476,0,18.952,42.683,9.557,0,0,0,0,0,0,54.985,0,0,9.557,9.684,18.355,0,0,0,0,0,9.387,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.299,9.128,FlavorsandFragrances,3
631,99.2,4.96,0,65,30,5,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,131,1.476,0,2.364,0.698,25.812,7.8978,13.871,0.07,5.215,2.471,8.396,11.815,0,0,3.124,0,0,0,0,0,0,20.211,3.124,0,11.815,6.124,11.367,0.188,4,6.914,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.428,1.531,FlavorsandFragrances,3
734,116.18,5.809,1,60,30,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,70,3.344,0,1.907,0.167,18.181,7,20.361,0.044,4.856,3.126,26.476,4.592,0,32.336,11,0,0,0,0,0,0,38.259,0,0,11.784,7.405,14.399,6.158,3,0.483,0.009,0,0,4.664,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.886,2.248,FlavorsandFragrances,3
835,180.22,7.209,7,48,40,0,12,0,3,1,6,0,0,0,0,0,0,0,0,0,0,637,3.362,0,2.678,0.564,63.811,9.823,46.596,0.018,5.218,4.247,19.708,4.592,37.905,32.336,30.429,0,0,0,0,0,0,77.826,0,0,20.213,7.188,16.678,6.347,0,-0.042,0,0,0,9.571,2,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.306,4.93,FlavorsandFragrances,3
702,162.2,7.373,8,45.5,45.5,0,9.1,0,1,1,6,0,0,0,0,0,0,0,0,0,0,510,3.037,0,2.267,0.489,57.386,9.2816,33.336,0.031,4.219,3.133,10.883,0,66.334,32.336,14.185,0,0,18.952,0,0,0,87.594,0,0,10.377,7.018,16.331,0,0,0,0,0,0,4.446,2,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.636,FlavorsandFragrances,3
