MW,AMW,nBM,nDB,nN,nS,nF,nCL,nHM,C%,N%,O%,nCIC,nCIR,Rbrid,nR05,nR09,nR10,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr11,D/Dtr12,Wap,MAXDN,LOC,X3v,X5v,Yindex,IC1,CIC3,J_D/Dt,J_Dz(Z),SM1_Dz(e),ChiA_Dz(p),SM1_Dz(p),SpMax_B(m),SpMax_B(s),nCp,nCq,nCrs,nCrt,nR=Cs,nR=Ct,nRCOOR,nRCONHR,nOHs,nROR,nArOR,nArX,Hy,MLOGP,MLOGP2,ALOGP2,Class,Label
1373.55,8.639,12,12,10,5,0,0,5,23.9,6.3,21.4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,543576,7.148,1.868,16.446,8.577,0.314,3.832,1.668,18.2024,1.6747,2.409,0.001,-3.825,4.808,7.779,3,0,20,2,4,0,0,0,4,9,0,0,16.608,-4.244,18.016,61.238,Antibacterial,0
339.46,7.715,4,4,3,1,0,0,1,34.1,6.8,9.1,3,4,1,2,0,0,0,45.951,117.932,80.302,0,0,0,0,8489,2.745,1.102,6.182,3.62,0.734,3.617,0.398,12.3487,2.1806,0.905,0.01,-1.975,3.991,7.479,2,0,4,1,2,0,0,0,1,0,0,0,1.118,1.387,1.923,0.854,Antibacterial,0
828.12,6.521,6,6,1,0,0,0,0,33.1,0.8,11.8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,106917,2.751,1.353,10.917,5.217,0.613,3.186,0.873,29.039,2.2688,1.576,0.002,-2.976,3.643,7.44,8,0,15,3,4,0,3,0,2,5,0,0,0.644,0.591,0.349,8.75,Antibacterial,0
262.24,9.043,9,3,2,0,0,0,0,41.4,6.9,17.2,3,6,2,1,1,1,0,0,34.22,0,0,53.858,0,0,6633,3.008,1.039,2.952,1.381,0.96,3.836,0.371,17.4669,2.3975,0.92,0.015,-2.104,3.938,7.483,1,0,0,0,0,0,0,0,0,0,2,0,-0.146,0.726,0.527,1.936,Antibacterial,0
423.461,9.01,14,3,3,1,0,0,2,40.4,6.4,10.6,4,5,1,2,0,0,0,55.638,153.804,101.496,0,0,0,0,24220,2.09,0.998,7.263,4.411,0.564,3.916,0.703,13.0793,1.7629,-1.161,0.006,-2.012,4.038,7.436,3,0,2,1,0,0,0,0,0,0,0,0,-0.234,2.217,4.916,12.91399506,Antibacterial,0
848.06,6.839,6,6,1,0,0,0,0,32.3,0.8,14.5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,94435,4.865,1.295,11.303,5.111,0.656,3.41,0.773,29.7768,2.3457,1.719,0.002,-3.144,3.703,7.485,6,1,15,2,4,0,1,0,4,6,0,0,3.395,-1.404,1.971,0.529,Antibacterial,0
493.581,10.502,10,4,7,3,0,0,4,31.9,14.9,10.6,3,4,1,1,0,0,0,63.939,94.252,0,130.401,0,0,0,16970,2.822,1.865,8.133,4.561,0.644,4.02,0.373,14.5519,2.3534,-0.916,0.006,-2.208,4.047,7.437,0,0,1,0,1,1,0,1,0,1,0,0,-0.073,0.996,0.992,12.91399506,Antibacterial,0
1999.55,7.632,40,22,23,3,0,0,3,33.6,8.8,9.5,8,25,28,1,0,0,0,0,178.68,0,0,0,0,0,8312150,4.309,1.021,26.718,12.607,0.37,3.645,1.66,76.6528,1.6011,2.356,0,-3.776,3.823,7.49,4,0,23,0,0,0,0,17,1,0,0,0,20.021,-8.837,78.092,34.238,Antibacterial,0
539.601,8.565,12,6,5,1,0,0,2,36.5,7.9,11.1,4,5,1,1,0,0,0,82.529,104.175,149.21,0,0,0,0,27057,2.635,1.019,8.736,5.011,0.518,3.74,0.619,13.4941,1.7115,-0.885,0.003,-2.405,4.033,7.5,3,0,2,1,0,0,0,1,0,0,0,0,0.296,0.391,0.153,12.91399506,Antibacterial,0
751.12,6.107,3,3,0,0,0,0,0,34.1,0,8.9,5,5,0,1,0,0,0,0,149.789,0,0,0,0,0,184631,2.62,1.019,14.446,7.351,0.407,2.787,1.051,15.765,1.4671,1.312,0.002,-2.653,3.763,7.477,10,0,15,5,2,0,0,0,2,5,0,0,1.235,2.756,7.594,32.942,Antibacterial,0
159.2,7.581,11,0,1,0,0,0,0,47.6,4.8,4.8,2,3,1,0,0,1,0,0,0,0,0,0,0,0,1166,1.424,0.896,1.853,0.831,1.222,3.006,0.19,13.748,2.7826,0.325,0.042,-1.03,3.87,6.269,1,0,0,0,0,0,0,0,0,0,0,0,-0.244,1.488,2.215,1.993,Antibacterial,0
785.97,7.277,26,6,3,0,0,0,0,39.8,2.8,10.2,6,15,17,2,3,1,0,0,125.25,0,0,356.164,0,0,816390,3.208,0.895,11.527,5.375,0.441,4.081,0.702,37.8246,1.6853,1.417,0.002,-2.773,4.244,7.436,9,0,1,0,4,1,1,1,2,2,1,0,1.903,1.824,3.328,24.931,Antibacterial,0
530.37,9.144,11,5,2,0,0,2,2,37.9,3.4,15.5,4,10,3,0,0,3,0,0,0,0,0,0,0,0,55239,4.265,1.128,7.757,4.727,0.839,4.363,0.453,26.4745,2.2469,1.365,0.006,-2.535,4.281,7.451,1,0,2,4,2,2,0,0,1,0,0,0,4.033,-1.173,1.376,12.91399506,Antibacterial,0
322.351,9.768,19,2,4,1,0,0,2,42.4,12.1,6.1,3,4,1,0,0,1,0,0,0,0,0,0,0,0,6898,4.557,0.65,6.973,2.66,0.716,3.21,0.606,13.0061,2.774,-1.334,0.012,-1.5,4.739,7.715,0,0,0,0,0,0,0,0,0,0,0,0,0.438,1.431,2.049,12.91399506,Antibacterial,0
734.05,6.221,2,2,1,0,0,0,0,31.4,0.8,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,52896,3.244,0.881,11.822,4.909,0.774,2.775,1.026,27.5028,2.4342,1.469,0.002,-2.845,3.672,7.432,10,0,12,7,0,0,1,0,3,5,0,0,2.007,-0.139,0.019,2.73,Antibacterial,0
