No.,MW,AMW,nBM,H%,C%,N%,O%,X%,nCsp3,nCIR,TRS,Rbrid,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr10,D/Dtr11,D/Dtr12,Wap,S3K,SRW09,X2v,X5v,EE_Dt,J_D/Dt,EE_Dz(v),ChiA_Dz(p),ATSC1m,ATSC1s,P_VSA_LogP_1,P_VSA_LogP_2,P_VSA_LogP_3,P_VSA_LogP_4,P_VSA_LogP_5,P_VSA_LogP_6,P_VSA_LogP_8,P_VSA_MR_7,P_VSA_MR_8,P_VSA_m_4,P_VSA_m_5,P_VSA_v_3,P_VSA_e_3,P_VSA_e_6,P_VSA_s_3,SpMax_EA(ed),SM13_EA(bo),SM07_EA(dm),H-052,SssCH2,SsssCH,SaaN,SsOH,SssO,CATS2D_02_AL,CATS2D_03_AL,CATS2D_06_AL,CATS2D_01_LL,CATS2D_09_LL,T(N..S),T(N..P),T(N..F),T(N..Cl),T(N..Br),T(N..I),T(O..P),T(O..Cl),T(O..Br),T(S..F),T(F..Cl),T(Cl..Cl),F03[C-N],MLOGP2,ALOGP2,Class,Label
3050,168.26,6.009,1,57.1,35.7,0,7.1,0,9,3,10,2,0,20.305,0,0,0,0,0,0,0,923,0.801,0,5.081,1.854,59.302,10.2871,28.352,0.038,7.043,8.08,26.476,5.069,42.683,30.278,0,0,0,0,0,0,0,36.678,0,0,10.203,15.288,17.706,5.617,4,1.613,0.714,0,9.935,0,1,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.181,0.81,Pharmaceuticals,7
3051,218.33,6.421,7,52.9,38.2,5.9,2.9,0,6,2,12,0,0,0,0,0,0,0,0,0,0,1529,2.7,0,4.347,1.686,95.243,10.4996,51.035,0.021,8.067,7.116,0,42.606,65.392,29.85,3.186,0,0,0,0,0,0,64.981,50.908,0,17.6,10.844,16.785,4.586,4,4.384,0.009,0,0,0,1,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.549,1.761,Pharmaceuticals,7
3052,339.47,6.789,7,50,42,2,6,0,13,25,32,7,27.707,0,24.513,0,42.08,142.38,162.92,176.527,67.199,64901,1.673,7.91,8.908,5.408,381.179,21.8289,100.618,0.01,12.012,10.847,0,35.186,61.636,42.683,28.924,0,0,0,0,0,0,68.938,3.124,0,34.219,18.815,19.453,0.188,7,8.109,0.784,0,22.49,6.287,6,10,1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,5,8.131,7.815,Pharmaceuticals,7
3053,665.29,7.736,40,43,47.7,7,1.2,1.2,7,7,40,0,0,0,280.914,0,0,0,0,0,0,195809,6.188,7.526,12.437,4.997,692.863,13.951,344.154,0.003,16.251,18.14,8.825,9.709,260.637,71.185,31.803,39.149,0,66.53,39.149,39.149,0,308.42,70.205,0,42.493,17.319,20.106,4.169,0,3.263,0,18.38,9.802,0,9,20,28,34,50,0,0,0,51,0,0,0,4,0,0,0,0,23,56.096,87.756,Pharmaceuticals,7
3054,364.47,8.099,15,44.4,35.6,8.9,8.9,0,4,2,12,0,0,0,0,0,0,0,0,0,0,6100,5.163,0,7.383,1.91,204.311,14.2472,127.622,0.008,11.522,21.983,26.476,34.416,43.712,152.469,46.355,4.276,0,22.593,0,5.807,0,102.809,69.212,0,14.526,12.936,20.321,3.301,6,0,-0.207,3.822,9.577,0,1,0,11,3,0,9,0,0,0,0,0,0,0,0,0,0,0,8,0.144,3.481,Pharmaceuticals,7
3055,585.73,7.231,12,48.1,35.8,6.2,9.9,0,15,10,24,3,0,0,0,0,0,0,414.829,0,0,97953,5.255,0,12.655,4.836,661.074,24.5525,278.495,0.004,17.983,39.132,60.061,58.083,70.17,248.306,24.504,0,0,0,0,0,0,114.644,75.167,0,45.107,15.884,19.831,5.114,9,0.053,-2.907,0,45.406,0,7,7,8,6,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0.529,0.147,Pharmaceuticals,7
3056,422.53,8.623,16,44.9,30.6,4.1,16.3,0,3,2,12,0,0,0,0,0,0,0,0,0,0,7337,5.986,0,8.531,1.98,204.709,13.1331,155.472,0.007,16.466,41.634,17.76914724,18.86790974,65.89339604,67.136505,25.11558895,9.299079817,10.02392171,19.91250739,9.895755111,18.421,0,128.739,53.277,0,16.858,13.611,20.294,0,0,0,0,0,0,13.791,4,4,12,12,0,34,0,0,0,0,0,0,0,0,0,0,0,0,10.984,12.98464698,Pharmaceuticals,7
3057,235.81,7.369,0,56.3,31.3,3.1,3.1,3.1,10,4,17,3,0,0,28.905,0,0,0,0,0,0,2599,1.442,7.018,8.036,4.752,90.286,11.4743,40.918,0.024,13.357,2.923,8.825,12.286,0,21.818,3.124,49.464,0,0,48.559,48.559,0,69.67,3.124,0,12.286,14.258,16.575,0.188,5,7.494,1.105,0,0,6.191,4,4,0,2,0,4,0,0,5,0,0,0,3,0,0,0,0,2,3.66,2.01,Pharmaceuticals,7
3058,328.45,6.843,8,50,39.6,4.2,6.3,0,11,7,24,2,0,0,0,0,0,0,157.819,0,0,18636,2.958,0,7.276,3.401,287.123,16.5659,115.686,0.009,11.033,8.333,0,25.238,80.588,59.699,6.371,0,0,0,0,0,0,72.675,6.249,0,34.77,11.278,17.816,5.312,6,5.292,-0.307,0,9.639,0,4,7,9,11,8,0,0,0,0,0,0,0,0,0,0,0,0,5,3.253,2.114,Pharmaceuticals,7
3059,290.45,6.18,7,55.3,36.2,4.3,4.3,0,10,2,12,0,0,0,0,0,0,0,0,0,0,3831,3.909,0,5.991,2.052,158.763,13.1967,97.074,0.01,11.559,8.118,26.476,32.36,18.952,72.533,12.252,0,0,0,0,0,0,73.61,21.135,0,28.182,10.145,18.302,4.573,6,6.293,-0.022,0,9.592,0,3,3,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,7,5.462,13.64,Pharmaceuticals,7
3060,254.31,7.706,14,42.4,45.5,6.1,6.1,0,1,2,12,0,0,0,0,0,0,0,0,0,0,2788,2.939,0,4.217,1.209,130.492,12.1045,64.486,0.017,6.094,13.298,0,35.432,108.707,60.128,12.313,0,0,0,0,0,0,100.496,65.794,0,24.686,10.655,18.587,4.586,0,0.03,0,0,0,0,3,4,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7.235,2.324,Pharmaceuticals,7
