No.,MW,AMW,nBM,H%,C%,N%,O%,X%,nCsp3,nCIR,TRS,Rbrid,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr10,D/Dtr11,D/Dtr12,Wap,S3K,SRW09,X2v,X5v,EE_Dt,J_D/Dt,EE_Dz(v),ChiA_Dz(p),ATSC1m,ATSC1s,P_VSA_LogP_1,P_VSA_LogP_2,P_VSA_LogP_3,P_VSA_LogP_4,P_VSA_LogP_5,P_VSA_LogP_6,P_VSA_LogP_8,P_VSA_MR_7,P_VSA_MR_8,P_VSA_m_4,P_VSA_m_5,P_VSA_v_3,P_VSA_e_3,P_VSA_e_6,P_VSA_s_3,SpMax_EA(ed),SM13_EA(bo),SM07_EA(dm),H-052,SssCH2,SsssCH,SaaN,SsOH,SssO,CATS2D_02_AL,CATS2D_03_AL,CATS2D_06_AL,CATS2D_01_LL,CATS2D_09_LL,T(N..S),T(N..P),T(N..F),T(N..Cl),T(N..Br),T(N..I),T(O..P),T(O..Cl),T(O..Br),T(S..F),T(F..Cl),T(Cl..Cl),F03[C-N],MLOGP2,ALOGP2,Class,Label
647,210.3,6.373,6,54.5,36.4,0,9.1,0,7,1,5,0,0,0,49.01,0,0,0,0,0,0,844,5.503,6.26,3.551,0.678,80.003,9.6909,68.414,0.013,7.857,4.219,8.825,17.265,30.692,32.336,20.507,17.22,0,0,0,0,0,69.422,0,0,29.905,7.054,16.249,6.176,0,5.157,0,0,0,5.034,4,3,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.317,12.191,FlavorsandFragrances,3
648,88.12,6.294,1,57.1,28.6,0,14.3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,32,5.016,0,1.144,0,11.059,5,11.113,0.091,3.27,9.043,8.825,5.069,0,68.738,0,0,0,0,0,0,0,14.804,0,0,5.979,5.118,12.932,5.889,0,1.023,0,0,7.913,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344,0.798,FlavorsandFragrances,3
649,604.92,5.931,2,58.8,31.4,0,9.8,0,29,1,5,0,0,0,163.11,0,0,0,0,0,0,15490,21.429,6.823,10.756,3.177,509.311,23.6823,520.515,0.002,26.304,12.896,8.825,65.572,147.362,87.336,11,11.771,0,18.952,0,0,0,100.901,0,0,72.764,10.402,14.954,6.158,0,17.062,-2.091,0,27.398,33.881,5,2,3,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5.374,26.767,FlavorsandFragrances,3
650,140.25,5.394,2,61.5,34.6,0,3.8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,165,8.571,0,2.414,0.469,34.343,9,31.491,0.035,6.131,5.017,8.825,12.673,18.952,48.34,0,0,0,30.377,0,0,0,51.875,0,0,12.673,3.742,0,0,0,6.156,0,0,0,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.469,10.23,FlavorsandFragrances,3
651,154.28,5.32,2,62.1,34.5,0,3.4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,220,9.416,0,2.767,0.594,41.638,10,38.658,0.028,6.886,5.504,8.825,15.207,18.952,48.34,0,0,0,30.377,0,0,0,54.409,0,0,15.207,3.792,0,0,0,7.566,0,0,0,0,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.631,13.356,FlavorsandFragrances,3
652,140.2,6.373,3,54.5,36.4,0,9.1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,137,3.727,0,1.859,0.161,28.543,9,28.823,0.031,4.966,5.212,17.65,20.359,18.952,32.336,14.185,0,0,18.952,0,0,0,67.339,0,0,14.969,7.858,15.907,0,0,0.282,0,0,0,4.719,3,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.444,4.771,FlavorsandFragrances,3
653,136.21,6.191,6,54.5,40.9,0,4.5,0,3,1,6,0,0,0,0,0,0,0,0,0,0,320,1.585,0,2.473,0.481,42.428,9.4033,21.652,0.048,5.177,5.337,28.533,0,28.429,0,22.614,0,0,0,0,0,0,68.577,0,0,11.615,8.64,17.592,0,0,0,0,0,0,5.1,2,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.299,7.762,FlavorsandFragrances,3
654,186.33,5.324,1,62.9,31.4,0,5.7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,330,7.98,0,3.736,0.614,52.671,12,56.994,0.016,8.673,4.59,26.476,17.265,0,32.336,11,0,0,0,0,0,0,50.932,0,0,24.456,7.414,14.405,6.158,2,6.595,0.01,0,0,5.045,3,5,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8.834,14.806,FlavorsandFragrances,3
655,214.39,5.229,1,63.4,31.7,0,4.9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,538,11.563,0,4.049,0.953,74.482,14,78.948,0.012,10.183,4.836,17.65,27.403,0,32.336,11,0,0,0,0,0,0,52.245,0,0,34.595,5.892,13.424,6.158,2,11.376,0,0,0,4.997,3,3,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19.687,22.6,FlavorsandFragrances,3
656,170.28,5.676,2,60,33.3,0,6.7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,270,8.377,0,2.747,0.486,46.731,11,45.583,0.023,7.273,4.399,19.708,12.673,18.952,32.336,11,0,0,18.952,0,0,0,58.525,0,0,19.864,5.892,13.561,6.296,0,5.203,0,0,0,4.488,2,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.621,8.884,FlavorsandFragrances,3
657,158.32,4.798,0,66.7,30.3,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,180,6.363,0,4.137,0.549,33.85,10,34.569,0.032,8.077,5.522,35.301,10.138,42.683,0,0,0,0,0,0,0,0,45.439,0,0,10.138,10.76,15.026,0,7,4.196,0.766,0,9.636,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.378,10.505,FlavorsandFragrances,3
658,212.37,5.445,2,61.5,33.3,0,5.1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,530,11.302,0,3.754,0.893,73.471,14,75.389,0.014,9.572,5.418,8.825,40.636,9.476,32.336,11,0,0,9.476,0,0,0,66.128,0,0,32.06,6.066,13.492,6.158,3,9.372,0,0,0,4.852,3,2,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11.679,18.453,FlavorsandFragrances,3
659,134.2,6.71,6,50,40,10,0,0,4,3,11,1,0,0,14.972,0,0,28.157,0,0,0,698,0.84,6.804,2.828,0.81,62.9,13.0474,19.425,0.052,4.531,3.888,8.825,5.069,0,57.113,23.608,0,0,33.571,0,0,0,37.503,33.571,0,10.583,10.011,17.591,0,0,2.337,0.628,8.525,0,0,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.425,1.129,FlavorsandFragrances,3
660,194.2,8.092,7,41.7,41.7,0,16.7,0,3,3,11,1,0,0,28.949,0,0,50.966,0,0,0,1580,2.19,6.581,2.968,0.773,96.711,11.8698,48.5,0.019,4.279,6.242,8.825,11.243,28.429,32.336,46.672,23.542,0,0,0,0,0,69.36,0,0,32.106,9.256,17.769,6.176,0,0.526,0,0,0,15.185,5,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.671,1.884,FlavorsandFragrances,3
661,240.43,5.343,2,62.2,33.3,0,4.4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,766,13.312,0,4.523,1.024,93.95,16,97.686,0.01,11.092,6.287,8.825,45.705,9.476,32.336,11,0,0,9.476,0,0,0,71.197,0,0,37.129,6.092,13.503,6.158,2,11.557,0,0,0,5.092,3,3,3,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15.502,27.832,FlavorsandFragrances,3
662,148.3,5.932,0,64,28,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,102,4.793,0,3.297,0.721,23.68,8,23.696,0.05,7.362,4.449,16.016,7.604,42.683,0,0,0,0,0,32.22,32.22,0,55.839,0,0,39.823,6.771,11.679,0,2,3.758,0.681,0,8.581,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.765,2.808,FlavorsandFragrances,3
663,254.41,5.782,1,59.1,34.1,0,6.8,0,14,2,11,0,0,0,38.144,0,0,0,0,0,0,2263,2.052,6.88,6.856,2.704,111.632,12.9236,66.133,0.014,11.328,7.293,44.126,12.673,0,43.336,11,0,0,0,0,0,0,63.99,0,0,19.864,18.513,18.216,6.158,12,5.181,0.261,0,0,12.081,8,8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.935,7.917,FlavorsandFragrances,3
664,184.31,5.585,1,60.6,33.3,0,6.1,0,10,1,6,0,0,0,0,0,0,0,0,0,0,625,4.419,0,3.848,1.445,65.314,9.623,49.133,0.02,8.329,3.154,8.825,22.334,0,32.336,11,0,0,0,0,0,0,38.351,0,0,29.525,7.025,13.714,6.158,3,8.913,0.79,0,0,4.894,3,2,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.657,10.227,FlavorsandFragrances,3
665,140.23,8.249,6,47.1,35.3,11.8,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,247,1.424,0,2.446,0.427,37.216,8.9209,16.375,0.067,3.647,3.547,16.016,0,0,57.113,20.852,1.122,0,33.571,32.22,32.22,0,70.209,33.571,0,36.098,8.475,17.203,0,0,0,0,8.164,0,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0.054,0.796,FlavorsandFragrances,3
666,114.16,6.342,2,55.6,33.3,0,11.1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,68,2.305,0,1.553,0.125,17.676,7,16.534,0.067,3.968,4.764,17.65,5.069,0,60.557,0,0,0,0,0,0,0,32.986,0,0,15.336,7.781,15.611,0,0,0.68,0,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0.682,FlavorsandFragrances,3
667,96.14,6.409,5,53.3,40,0,6.7,0,2,1,5,0,0,0,16.067,0,0,0,0,0,0,118,0.904,6.26,1.433,0.172,22.877,7.1479,11.003,0.088,3.509,3.354,8.825,2.535,30.692,0,9.507,17.22,0,0,0,0,0,47.501,0,0,7.983,6.858,16.159,0,0,0.993,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889,3.049,FlavorsandFragrances,3
668,113.2,8.086,5,50,35.7,7.1,0,0,2,1,5,0,0,0,15.767,0,0,0,0,0,0,117,1.064,6.503,2.57,0.493,22.473,7.4192,9.963,0.114,3.295,2.643,17.65,0,7.649,17.715,2.757,11.771,0,16.786,31.278,31.278,0,60.263,16.786,0,34.964,7.093,16.927,0,0,0,0,4.13,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.319,0.687,FlavorsandFragrances,3
669,128.19,6.104,2,57.1,33.3,0,9.5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,110,5.244,0,1.66,0.199,25.412,8,24.981,0.04,4.927,3.155,19.708,5.069,18.952,32.336,11,0,0,18.952,0,0,0,50.921,0,0,12.26,5.891,13.561,6.296,0,1.362,0,0,0,4.407,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.621,2.599,FlavorsandFragrances,3
670,100.13,6.675,2,53.3,33.3,0,13.3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,56,5.351,0,1.264,0.096,16.625,6,15.266,0.067,3.155,4.311,0,7.604,0,96.68,0,0,0,22.848,0,0,0,30.452,0,0,7.604,3.414,0,0,0,1.727,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.02,FlavorsandFragrances,3
671,98,12.25,1,37.5,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4.117,0,1.54,0,6.608,4,6.515,0.212,2.823,48.34,0,0,111.396,20.263,0,0,0,0,0,0,0,0,0,0,0,9,16.816,0,0,0,0,0,21.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.251,2.486,FlavorsandFragrances,3
672,148.25,7.06,1,57.1,28.6,0,9.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,108,5.864,0,2.533,0.411,25.021,8,26.55,0.036,5.639,2.536,16.016,8.027,0,32.336,11,0,0,0,32.22,32.22,0,63.453,0,0,47.437,6.062,13.491,6.158,3,1.89,0,0,0,4.692,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.886,1.208,FlavorsandFragrances,3
673,130.21,5.661,1,60.9,30.4,0,8.7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,104,5.508,0,2.316,0.259,23.929,8,26.607,0.033,5.628,3.503,26.476,7.127,0,32.336,11,0,0,0,0,0,0,40.794,0,0,14.318,6.017,13.126,6.158,1,1.624,0.494,0,0,4.756,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.981,2.786,FlavorsandFragrances,3
674,128.21,8.013,5,50,37.5,0,6.3,0,2,1,5,0,0,0,19.876,0,0,0,0,0,0,168,1.677,6.26,2.378,0.444,28.34,7.3192,14.738,0.071,3.771,3.375,7.19,0.9,30.692,0,9.507,17.22,0,0,32.22,32.22,0,76.45,0,0,38.568,6.984,16.174,0,0,0.979,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889,3.147,FlavorsandFragrances,3
675,158.27,5.458,1,62.1,31,0,6.9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,192,7.534,0,3.18,0.733,36.294,10,36.438,0.03,7.099,5.668,17.65,12.673,0,68.738,0,0,0,0,0,0,0,31.233,0,0,13.583,6.178,13.149,5.889,0,4.752,0.575,0,8.388,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.651,8.82,FlavorsandFragrances,3
676,178.3,5.752,6,58.1,38.7,0,3.2,0,6,1,6,0,0,0,0,0,0,0,0,0,0,597,3.6,0,3.836,0.85,62.406,9.6766,39.104,0.028,7.537,7.436,17.65,7.604,90.065,0,3.186,0,0,0,0,0,0,75.821,0,0,10.789,10.767,16.253,0,7,2.62,0,0,9.785,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.72,9.667,FlavorsandFragrances,3
677,142.22,5.926,1,58.3,33.3,0,8.3,0,7,1,6,0,0,0,0,0,0,0,0,0,0,318,2.858,0,2.869,0.98,42.883,8.6944,28.901,0.03,5.974,2.5,8.825,12.673,0,32.336,11,0,0,0,0,0,0,28.689,0,0,19.864,7.243,13.526,6.158,4,5.882,0.228,0,0,5.052,4,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.782,3.532,FlavorsandFragrances,3
678,114.16,6.342,2,55.6,33.3,0,11.1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,79,6.605,0,1.478,0.155,20.479,7,18.725,0.056,4.115,7.57,8.825,5.069,18.952,68.738,0,0,0,18.952,0,0,0,33.757,0,0,5.979,5.181,13.13,6.05,0,1.057,0,0,8.089,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.602,1.852,FlavorsandFragrances,3
679,138.23,5.76,3,58.3,37.5,0,4.2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,165,8.318,0,2.021,0.336,34.343,9,29.322,0.037,5.492,5.246,8.825,7.604,37.905,48.34,0,0,0,49.329,0,0,0,65.758,0,0,7.604,3.742,0,0,0,3.102,0,0,0,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.026,7.583,FlavorsandFragrances,3
680,102.15,6.009,1,58.8,29.4,0,11.8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,46,2.346,0,1.648,0,13.635,6,13.722,0.077,4.048,7.475,17.65,2.535,0,68.738,0,0,0,0,0,0,0,21.095,0,0,3.444,7.31,14.206,5.889,0,0.718,-0.181,0,8.182,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991,1.838,FlavorsandFragrances,3
681,130.23,7.235,2,55.6,33.3,0,5.6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,76,4.766,0,2.403,0.374,19.763,7,16.971,0.074,4.627,3.903,8.825,19.201,9.476,28.644,0,0,0,9.476,32.22,32.22,0,73.221,0,0,39.152,5.887,13.436,10.152,0,1.366,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.781,3.471,FlavorsandFragrances,3
682,144.24,5.548,1,61.5,30.8,0,7.7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,165,8.787,0,2.381,0.467,34.343,9,36.731,0.026,6.395,4.755,8.825,17.265,0,50.398,11,0,0,0,0,0,0,39.572,0,0,17.265,3.742,0,0,2,6.599,0,0,0,4.533,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.244,7.136,FlavorsandFragrances,3
683,240.43,5.343,1,62.2,33.3,0,4.4,0,14,1,6,0,0,0,0,0,0,0,0,0,0,1261,4.79,0,6.452,1.84,96.394,12.7846,71.322,0.013,11.4,6.528,44.126,10.138,0,32.336,11,0,0,0,0,0,0,61.455,0,0,17.329,9.878,14.828,6.158,3,4.085,2.412,0,0,5.708,4,5,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.342,20.552,FlavorsandFragrances,3
684,136.16,7.564,7,44.4,44.4,0,11.1,0,1,1,6,0,0,0,0,0,0,0,0,0,0,330,2.336,0,1.893,0.421,44.388,8.6344,25.873,0.036,3.355,2.997,0,4.592,47.381,50.398,14.185,0,0,0,0,0,0,68.641,0,0,7.778,6.964,15.897,0,0,0.365,0,0,0,4.539,1,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.117,2.426,FlavorsandFragrances,3
685,190.34,6.345,1,60,30,0,6.7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,241,7.426,0,3.913,0.898,41.724,11,44.254,0.022,8.265,3.871,24.841,12.196,0,32.336,11,0,0,0,32.22,32.22,0,76.448,0,0,51.607,6.792,13.205,6.158,2,3.962,0.648,0,0,4.868,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.651,4.222,FlavorsandFragrances,3
686,164.22,6.842,7,50,41.7,0,8.3,0,3,1,6,0,0,0,0,0,0,0,0,0,0,510,3.21,0,2.5,0.519,57.386,9.2816,38.168,0.023,5.158,3.3,8.825,7.127,47.381,32.336,14.185,0,0,0,0,0,0,73.71,0,0,17.504,7.018,15.986,6.176,0,0.82,0,0,0,4.938,3,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.694,5.16,FlavorsandFragrances,3
687,172.3,5.384,1,62.5,31.3,0,6.3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,252,8.636,0,3.533,0.776,43.699,11,43.851,0.025,7.854,5.647,17.65,15.207,0,68.738,0,0,0,0,0,0,0,33.767,0,0,16.117,6.181,13.15,5.889,0,6.105,0.577,0,8.434,0,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.186,11.737,FlavorsandFragrances,3
688,152.21,6.618,6,52.2,39.1,0,8.7,0,3,1,6,0,0,0,0,0,0,0,0,0,0,411,1.79,0,2.36,0.591,48.936,9.8575,27.07,0.038,5.336,6.005,19.708,2.535,28.429,42.683,19.429,0,0,0,0,0,0,59.101,0,0,10.964,8.746,17.638,0,0,0.955,0,0,9.205,4.937,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.599,6.193,FlavorsandFragrances,3
689,204.29,6.59,8,51.6,41.9,0,6.5,0,4,1,6,0,0,0,0,0,0,0,0,0,0,898,4.569,0,3.17,0.687,83.328,10.4188,60.776,0.015,6.859,4.251,8.825,9.661,66.334,32.336,14.185,0,0,18.952,0,0,0,95.197,0,0,20.038,8.537,16.834,0,2,2.253,0,0,0,5.084,3,5,2,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11.645,12.124,FlavorsandFragrances,3
690,62.15,6.906,0,66.7,22.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2.351,0,0.949,0,2.832,2,2.7,0.489,3.143,1.754,8.825,0.9,0,10.818,0,0,0,0,38.564,38.564,0,48.289,0,0,0.9,1,0,0,3,0.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713,0.926,FlavorsandFragrances,3
691,85.14,10.643,5,37.5,37.5,12.5,0,0,0,1,5,0,0,0,9.167,0,0,0,0,0,0,50,0.517,5.889,1.431,0,14,6.8182,4.279,0.236,0.757,1.411,0,0,7.649,47.548,9.047,11.771,0,16.786,31.278,31.278,0,55.194,16.786,0,31.278,4,14.146,0,0,0,0,3.741,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.089,0.082,FlavorsandFragrances,3
692,120.16,7.068,7,47.1,47.1,0,5.9,0,1,1,6,0,0,0,0,0,0,0,0,0,0,250,1.688,0,1.856,0.405,37.505,8.3809,16.903,0.064,3.321,2.995,0,2.535,47.381,48.34,3.186,0,0,11.424,0,0,0,64.525,0,0,5.72,6.951,15.915,0,0,0.529,0,0,0,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.365,2.3,FlavorsandFragrances,3
693,138.19,6.909,6,50,35,10,5,0,3,1,6,0,0,0,0,0,0,0,0,0,0,326,1.524,0,1.866,0.406,43.864,9.4292,23.843,0.041,4.455,4.25,19.708,2.535,0,57.113,31.851,4.815,0,33.571,0,0,0,47.909,33.571,0,10.106,8.924,17.299,0,0,0.858,0,8.064,0,4.963,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.316,1.002,FlavorsandFragrances,3
694,138.18,6.909,6,50,40,0,10,0,3,1,5,0,0,0,26.267,0,0,0,0,0,0,288,1.356,6.783,2.383,0.424,37.734,8.7974,19.977,0.052,4.313,2.76,26.476,0,9.476,30.278,12.693,10.898,0,0,0,0,0,55.169,0,0,19.217,9.658,18.205,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.846,0.931,FlavorsandFragrances,3
695,270.51,5.104,1,64.2,32.1,0,3.8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1058,15.58,0,5.981,1.278,115.893,18,121.717,0.008,13.189,6.515,26.476,32.472,0,32.336,11,0,0,0,0,0,0,66.139,0,0,39.664,6.106,13.548,6.158,2,13.759,0.612,0,0,5.186,3,3,4,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,29.695,40.632,FlavorsandFragrances,3
696,116.1,9.675,3,33.3,16.7,33.3,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,6.141,0,0.876,0.049,19.111,7,20.851,0.042,1.657,21.416,0,65.794,0,50.29,0,41.878,0,33.326,0,0,0,8.552,99.12,0,8.552,5.547,14.64,3.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.707,0.038,FlavorsandFragrances,3
697,196.22,7.547,7,46.2,38.5,0,15.4,0,3,1,6,0,0,0,0,0,0,0,0,0,0,724,1.851,0,3.053,0.746,67.485,11.8803,38.611,0.027,5.339,14.072,28.533,0,9.476,117.703,20.557,0,0,0,0,0,0,54.758,0,0,16.748,11.113,18.983,0,0,0,0,0,18.948,4.512,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.233,4.507,FlavorsandFragrances,3
698,136.16,7.564,7,44.4,44.4,0,11.1,0,1,1,6,0,0,0,0,0,0,0,0,0,0,308,1.666,0,1.858,0.395,41.882,8.7761,22.57,0.044,3.355,2.632,10.883,0,47.381,32.336,14.185,0,0,0,0,0,0,68.641,0,0,10.377,8.488,16.827,0,0,0,0,0,0,4.497,2,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.135,2.841,FlavorsandFragrances,3
699,88.12,6.294,1,57.1,28.6,0,14.3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31,2.636,0,0.93,0,10.742,5,11.975,0.075,3.282,2.916,19.708,2.535,0,32.336,11,0,0,0,0,0,0,29.434,0,0,9.726,5.653,13.341,6.158,0,0.469,0,0,0,4.26,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344,0.473,FlavorsandFragrances,3
700,194.25,6.937,7,50,39.3,0,10.7,0,4,1,6,0,0,0,0,0,0,0,0,0,0,735,3.245,0,3.509,0.595,71.278,10.7365,48.234,0.019,6.141,8.308,17.65,4.592,37.905,75.02,14.185,0,0,0,0,0,0,70.525,0,0,14.969,9.621,17.721,0,1,0.368,0.296,0,9.345,4.971,3,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.345,6.811,FlavorsandFragrances,3
701,256.32,7.323,13,45.7,45.7,0,8.6,0,3,2,12,0,0,0,0,0,0,0,0,0,0,2838,4.324,0,4.171,1.099,135.379,10.63,89.357,0.01,6.976,4.924,10.883,7.127,85.286,32.336,33.614,0,0,0,0,0,0,122.102,0,0,25.933,7.454,17.149,6.312,0,0.59,0,0,0,10.292,5,6,4,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10.135,10.806,FlavorsandFragrances,3
702,267.54,11.148,7,37.5,41.7,0,8.3,12.5,3,1,6,0,0,0,0,0,0,0,0,0,0,733,3.991,0,5.311,1.102,69.377,10.716,47.502,0.021,1.115,11.107,8.825,0,47.381,32.336,14.185,117.446,0,117.446,0,117.446,0,184.029,0,0,10.377,12.26,16.95,6.245,0,0,-0.888,0,0,4.966,3,5,2,6,0,0,0,0,0,0,0,0,24,0,0,0,6,0,10.436,10.438,FlavorsandFragrances,3
703,210.3,6.373,6,54.5,36.4,0,9.1,0,6,1,6,0,0,0,0,0,0,0,0,0,0,975,3.998,0,3.412,0.801,82.768,11.2238,61.722,0.015,8.005,7.173,19.708,14.254,28.429,53.683,19.429,0,0,0,0,0,0,70.82,0,0,22.683,8.757,17.642,0,2,3.56,0,0,9.379,10.47,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.753,7.177,FlavorsandFragrances,3
704,212.26,7.581,13,42.9,50,0,7.1,0,1,2,12,0,0,0,0,0,0,0,0,0,0,1629,2.376,0,3.543,0.979,98.83,10.3068,47.467,0.022,5.16,8.75,0,0,137.446,30.278,6.371,0,0,0,0,0,0,106.267,0,0,11.505,10.021,17.491,4.007,0,0,-1.08,0,9.893,0,1,3,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,7.417,FlavorsandFragrances,3
705,152.16,8.008,7,42.1,42.1,0,15.8,0,1,1,5,0,0,0,31.524,0,0,0,0,0,0,358,2.147,6.293,1.864,0.242,45.082,8.2759,32.465,0.026,3.328,6.489,0,20.359,40.168,32.336,20.507,17.22,0,9.476,0,0,0,73.168,0,0,17.233,8.549,16.987,0,0,0.208,0,0,0,4.685,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649,2.881,FlavorsandFragrances,3
706,162.2,7.373,8,45.5,45.5,0,9.1,0,1,1,6,0,0,0,0,0,0,0,0,0,0,510,3.037,0,2.267,0.489,57.386,9.2816,33.336,0.031,4.219,3.133,10.883,0,66.334,32.336,14.185,0,0,18.952,0,0,0,87.594,0,0,10.377,7.018,16.331,0,0,0,0,0,0,4.446,2,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.636,FlavorsandFragrances,3
