,MW,AMW,nBM,nDB,nN,nS,nF,nCL,nHM,C%,N%,O%,nCIC,nCIR,Rbrid,nR05,nR09,nR10,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr11,D/Dtr12,Wap,MAXDN,LOC,X3v,X5v,Yindex,IC1,CIC3,J_D/Dt,J_Dz(Z),SM1_Dz(e),ChiA_Dz(p),SM1_Dz(p),SpMax_B(m),SpMax_B(s),nCp,nCq,nCrs,nCrt,nR=Cs,nR=Ct,nRCOOR,nRCONHR,nOHs,nROR,nArOR,nArX,Hy,MLOGP,MLOGP2,ALOGP2,Class,Label
317,334.39,9.038,16.0,3.0,4.0,1.0,0.0,0.0,1.0,37.8,10.8,10.8,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5125.0,5.764,1.462,3.153,1.119,0.636,3.383,0.71,12.3819,2.606,0.959,0.007,-2.055,4.718,7.866,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.155,3.172,10.061,12.9139950622,Colorants,2
318,610.898,8.145,20.0,8.0,2.0,2.0,0.0,0.0,3.0,38.7,2.7,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21303.0,5.587,1.509,11.199,4.776,0.645,3.459,1.25,15.1525,2.4584,-1.438,0.005,-2.035,4.724,7.857,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.72,3.114,9.699,12.9139950622,Colorants,2
319,452.58,7.3,26.0,2.0,0.0,0.0,0.0,0.0,0.0,48.4,0.0,6.5,5.0,22.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.862,121482.0,1.968,1.553,6.197,3.674,0.519,2.962,1.847,22.257,1.8432,0.686,0.006,-1.758,4.211,7.435,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.875,6.093,37.125,48.275,Colorants,2
320,248.3,8.01,18.0,1.0,2.0,0.0,0.0,0.0,0.0,51.6,6.5,3.2,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5711.0,1.529,0.447,2.901,1.308,0.72,2.306,0.786,13.7295,2.2671,0.42,0.014,-1.224,3.935,6.313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.353,3.566,12.719,23.429,Colorants,2
321,302.32,8.398,15.0,3.0,4.0,0.0,0.0,0.0,0.0,38.9,11.1,11.1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4576.0,2.477,1.08,2.865,1.084,0.732,3.433,0.82,12.6022,2.5906,0.931,0.009,-2.104,3.863,7.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.438,1.705,2.907,10.985,Colorants,2
322,691.842,18.698,17.0,5.0,0.0,0.0,0.0,0.0,6.0,54.1,0.0,13.5,4.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36395.0,2.036,1.144,9.434,4.749,0.756,3.916,0.162,20.329,2.3558,-1.947,0.009,-1.24,6.895,7.433,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,-0.639,3.921,15.373,12.9139950622,Colorants,2
323,524.413,13.446,25.0,6.0,0.0,3.0,0.0,0.0,6.0,41.0,0.0,25.6,4.0,14.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.041,53031.0,6.074,1.47,24.698,25.496,0.761,3.47,0.737,22.002,3.1632,-2.308,0.011,-2.202,4.79,7.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.093,0.975,0.951,12.9139950622,Colorants,2
324,473.471,9.663,23.0,5.0,3.0,1.0,0.0,0.0,2.0,44.9,6.1,12.2,4.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39843.0,5.147,1.139,7.805,3.606,0.613,3.644,0.791,18.9924,2.1492,-1.081,0.006,-2.161,4.731,7.721,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.633,1.569,2.463,12.9139950622,Colorants,2
325,460.9,9.218,24.0,6.0,4.0,0.0,0.0,1.0,1.0,48.0,8.0,8.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31478.0,2.513,0.753,5.294,2.418,0.517,3.672,0.47,15.5546,1.8275,1.011,0.005,-2.08,3.929,7.815,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.222,4.192,17.572,25.936,Colorants,2
326,336.42,9.092,24.0,1.0,0.0,1.0,0.0,0.0,1.0,62.2,0.0,2.7,6.0,33.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.428,103843.0,1.532,0.372,6.362,4.317,0.645,2.357,0.818,27.3647,1.9744,0.276,0.015,-0.592,4.197,7.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.909,5.315,28.245,31.785,Colorants,2
327,269.33,7.695,14.0,2.0,3.0,0.0,0.0,0.0,0.0,42.9,8.6,5.7,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3648.0,1.788,1.113,2.592,1.063,0.683,3.392,0.5,11.622,2.3527,0.645,0.01,-1.649,3.781,7.43,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.361,2.471,6.106,12.522,Colorants,2
328,452.411,10.282,23.0,5.0,4.0,1.0,0.0,0.0,2.0,40.9,9.1,15.9,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15793.0,5.78,1.13,5.345,2.422,0.599,3.133,0.688,13.7513,2.2871,-0.941,0.006,-2.35,4.74,7.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,2.157,4.654,12.9139950622,Colorants,2
329,436.31,9.696,25.0,2.0,3.0,0.0,0.0,2.0,2.0,51.1,6.7,4.4,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23383.0,2.123,0.551,4.992,2.366,0.548,3.132,0.525,15.0946,1.9623,0.844,0.006,-1.572,4.033,7.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.21,4.884,23.856,48.357,Colorants,2
330,828.94,10.627,38.0,8.0,6.0,0.0,0.0,5.0,5.0,51.3,7.7,5.1,7.0,9.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441627.0,2.414,0.532,9.791,4.74,0.267,3.447,1.148,15.7964,1.175,1.351,0.002,-2.133,4.029,7.447,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,1.281,4.818,23.215,91.918,Colorants,2
331,713.702,10.196,34.0,10.0,5.0,2.0,0.0,0.0,4.0,45.7,7.1,11.4,6.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235345.0,6.012,0.959,15.206,7.37,0.326,3.532,1.186,15.4653,1.4974,-1.795,0.003,-2.395,4.742,7.859,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.774,2.094,4.385,12.9139950622,Colorants,2
332,355.42,8.078,18.0,6.0,3.0,0.0,0.0,0.0,0.0,50.0,6.8,4.5,4.0,6.0,2.0,1.0,1.0,1.0,0.0,0.0,56.18,0.0,0.0,106.411,0.0,0.0,23820.0,1.863,0.881,4.516,2.164,0.5,3.458,0.489,15.1622,1.7395,0.645,0.006,-1.649,3.898,7.43,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.382,3.81,14.514,8.146,Colorants,2
333,301.42,7.177,16.0,4.0,3.0,0.0,0.0,0.0,0.0,47.6,7.1,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5105.0,0.912,0.777,3.813,1.834,0.75,3.112,1.399,11.35,2.1868,0.346,0.013,-1.03,3.846,4.835,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.693,3.229,10.427,8.203,Colorants,2
334,346.82,8.459,14.0,1.0,3.0,0.0,0.0,1.0,1.0,41.5,7.3,7.3,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5069.0,2.044,1.336,3.465,1.453,0.868,3.596,0.72,13.8556,2.6624,0.86,0.008,-1.826,3.944,7.428,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-0.26,2.429,5.902,16.505,Colorants,2
335,478.05,7.47,17.0,5.0,2.0,0.0,0.0,1.0,1.0,43.8,3.1,4.7,4.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45399.0,2.251,1.307,6.573,3.009,0.643,3.393,1.184,19.4283,2.1019,0.8,0.006,-1.724,3.976,7.434,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.817,4.248,18.044,12.9139950622,Colorants,2
336,392.27,9.568,16.0,3.0,5.0,0.0,0.0,2.0,2.0,41.5,12.2,4.9,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7263.0,2.58,1.571,4.144,1.586,0.639,3.564,0.701,13.3723,2.4424,0.956,0.007,-1.794,4.09,7.815,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.646,3.595,12.921,34.956,Colorants,2
337,304.7,10.157,14.0,2.0,2.0,0.0,0.0,1.0,1.0,46.7,6.7,13.3,3.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9001.0,2.375,0.737,3.733,1.835,1.067,3.59,0.6,20.6107,2.5785,0.905,0.017,-1.918,4.088,7.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.776,0.992,0.984,2.087,Colorants,2
338,433.371,10.834,14.0,8.0,3.0,1.0,3.0,0.0,2.0,42.5,7.5,10.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17992.0,5.857,1.114,6.686,2.634,0.664,4.003,0.219,16.7503,2.2933,-0.917,0.006,-2.542,4.724,8.513,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.062,1.985,3.94,12.9139950622,Colorants,2
339,509.462,11.075,23.0,6.0,3.0,2.0,0.0,0.0,4.0,39.1,6.5,17.4,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20139.0,6.08,1.377,12.152,5.909,0.73,4.029,0.468,17.418,2.9551,-1.839,0.007,-2.279,4.751,7.859,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.402,0.732,0.536,12.9139950622,Colorants,2
340,335.86,7.997,16.0,4.0,3.0,0.0,0.0,1.0,1.0,47.6,7.1,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5674.0,1.173,0.813,4.233,1.957,0.757,3.459,0.739,11.7191,2.2279,0.485,0.012,-0.958,3.873,5.684,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.695,3.452,11.917,16.671,Colorants,2
341,621.622,10.906,30.0,7.0,3.0,3.0,0.0,0.0,5.0,40.4,5.3,15.8,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42582.0,6.19,1.115,14.798,7.423,0.594,3.779,0.553,16.9323,2.6781,-1.788,0.005,-2.358,4.758,7.859,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323,1.271,1.616,12.9139950622,Colorants,2
342,340.37,8.302,17.0,5.0,4.0,0.0,0.0,0.0,0.0,41.5,9.8,9.8,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4906.0,2.721,0.971,3.283,1.241,0.752,3.512,0.543,13.0528,2.4932,0.931,0.007,-2.104,3.898,7.815,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.238,2.439,5.947,12.512,Colorants,2
344,152.17,8.009,8.0,2.0,2.0,0.0,0.0,0.0,0.0,36.8,10.5,10.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,2.463,1.16,1.474,0.48,1.648,3.181,0.461,9.7236,3.4764,0.57,0.041,-1.526,3.861,7.815,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,1.701,2.893,2.143,Colorants,2
345,288.27,8.735,13.0,1.0,0.0,0.0,0.0,0.0,0.0,45.5,0.0,18.2,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7493.0,2.409,0.702,3.402,1.61,0.783,3.36,0.545,14.7001,2.2146,0.908,0.012,-2.104,3.922,7.426,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.921,0.678,0.459,4.122,Colorants,2
346,544.79,20.953,10.0,4.0,2.0,0.0,0.0,0.0,4.0,46.2,7.7,11.5,3.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9237.0,1.903,0.737,6.03,2.442,0.921,3.931,0.308,19.3774,2.7423,0.955,0.014,-1.413,6.896,7.427,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.062,1.669,2.785,12.9139950622,Colorants,2
347,1029.944,11.318,52.0,13.0,7.0,4.0,0.0,0.0,8.0,44.0,7.7,14.3,8.0,12.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1508867.0,6.097,1.157,111.674,68.119,0.253,3.808,0.739,18.7717,1.3739,-2.5,0.001,-2.743,4.774,7.868,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,1.38,1.905,12.9139950622,Colorants,2
348,733.951,8.065,32.0,8.0,3.0,2.0,0.0,0.0,3.0,42.9,3.3,6.6,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95098.0,5.456,1.012,12.237,5.337,0.361,3.509,1.308,13.5412,1.5696,-1.056,0.003,-2.115,4.738,7.859,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.761,4.341,18.843,12.9139950622,Colorants,2
349,305.86,8.496,10.0,4.0,3.0,1.0,0.0,1.0,2.0,41.7,8.3,0.0,3.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8256.0,0.867,0.932,4.908,2.901,0.845,3.701,0.674,18.0593,2.7216,0.527,0.017,-0.795,4.182,4.923,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361,2.248,5.051,12.9139950622,Colorants,2
350,502.462,11.166,24.0,7.0,2.0,2.0,0.0,0.0,4.0,44.4,4.4,15.6,4.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38768.0,6.056,1.178,12.787,6.144,0.564,3.641,0.389,16.9755,2.2508,-1.899,0.006,-2.075,4.746,7.86,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.202,2.173,4.72,12.9139950622,Colorants,2
351,632.521,10.542,25.0,7.0,5.0,2.0,0.0,2.0,5.0,40.0,8.3,10.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,125.564,0.0,0.0,0.0,0.0,0.0,54263.0,5.699,0.833,10.455,5.948,0.405,4.072,0.446,13.9423,1.8303,-0.779,0.003,-2.209,4.75,7.859,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.218,2.351,5.527,12.9139950622,Colorants,2
352,567.621,9.46,24.0,6.0,3.0,2.0,0.0,0.0,3.0,40.0,5.0,13.3,4.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57332.0,5.265,1.379,10.5,4.834,0.617,4.052,0.692,20.3052,2.3363,-0.868,0.005,-2.369,4.734,7.723,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.318,0.879,0.773,12.9139950622,Colorants,2
353,369.43,9.01,22.0,4.0,3.0,1.0,0.0,0.0,1.0,43.9,7.3,9.8,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8695.0,4.858,0.777,4.934,2.41,0.635,2.669,1.1,12.0011,2.4553,0.905,0.009,-1.975,4.711,7.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327,3.14,9.86,17.932,Colorants,2
354,600.771,7.605,22.0,4.0,2.0,1.0,0.0,0.0,2.0,40.5,2.5,7.6,4.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72022.0,4.92,2.261,10.251,4.657,0.458,3.394,1.446,20.1477,1.7218,-1.126,0.003,-2.09,4.728,7.721,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.725,4.887,23.882,12.9139950622,Colorants,2
355,764.83,10.064,42.0,8.0,6.0,3.0,0.0,0.0,3.0,42.1,7.9,14.5,6.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416903.0,5.953,0.847,10.249,5.138,0.273,3.609,1.181,15.5473,1.4224,1.559,0.002,-2.811,4.76,7.776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.197,0.906,0.82,22.717,Colorants,2
356,164.23,6.843,7.0,1.0,2.0,0.0,0.0,0.0,0.0,37.5,8.3,4.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,1.652,1.695,1.385,0.467,1.293,2.888,1.178,9.3598,3.1223,0.42,0.028,-1.224,3.663,6.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.164,1.921,3.69,5.658,Colorants,2
357,259.24,9.259,16.0,4.0,3.0,0.0,0.0,0.0,0.0,42.9,10.7,14.3,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2884.0,2.667,1.039,2.442,1.036,0.915,2.45,0.884,11.9381,2.682,0.876,0.013,-2.028,3.943,7.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.146,3.284,10.784,10.042,Colorants,2
358,575.1,10.27,48.0,0.0,8.0,0.0,0.0,0.0,1.0,57.1,14.3,0.0,9.0,93.0,12.0,4.0,4.0,0.0,0.0,0.0,147.186,0.0,0.0,294.021,0.0,0.0,1342383.0,1.208,0.261,7.76,3.911,0.399,2.429,2.386,30.2311,1.7388,0.539,0.005,-1.627,5.606,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.775,7.082,50.149,12.9139950622,Colorants,2
359,540.53,9.009,23.0,11.0,6.0,0.0,0.0,0.0,0.0,45.0,10.0,11.7,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63931.0,3.0,0.789,5.301,2.166,0.307,3.6,1.367,12.6987,1.417,1.268,0.002,-2.565,3.803,7.487,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.009,1.058,1.119,4.828,Colorants,2
360,430.411,10.01,22.0,4.0,1.0,1.0,0.0,0.0,2.0,48.8,2.3,14.0,4.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34013.0,5.683,0.914,6.25,3.342,0.659,3.617,0.483,19.1559,2.1533,-1.17,0.008,-2.012,4.74,7.859,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.283,1.99,3.959,12.9139950622,Colorants,2
361,379.4,8.431,16.0,4.0,3.0,0.0,0.0,0.0,0.0,44.4,6.7,11.1,4.0,10.0,3.0,1.0,1.0,2.0,0.0,0.0,41.608,0.0,0.0,69.987,0.0,0.0,33647.0,2.29,1.358,5.096,2.631,0.71,3.624,0.995,21.8422,2.0034,0.973,0.008,-2.175,4.084,7.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.698,1.337,1.788,0.078,Colorants,2
362,695.633,11.404,35.0,7.0,3.0,3.0,0.0,0.0,6.0,42.6,4.9,16.4,5.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114620.0,5.935,1.231,26.101,25.322,0.454,3.556,0.537,18.3694,2.1155,-2.266,0.004,-2.384,4.755,7.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292,1.46,2.133,12.9139950622,Colorants,2
363,502.842,12.571,22.0,5.0,2.0,2.0,0.0,1.0,5.0,40.0,5.0,20.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21621.0,5.936,1.253,12.233,5.831,0.599,3.789,0.25,16.5639,2.6237,-1.828,0.006,-2.194,4.746,7.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.449,0.881,0.777,12.9139950622,Colorants,2
364,780.212,12.003,52.0,4.0,8.0,2.0,0.0,0.0,5.0,49.2,12.3,9.2,10.0,147.0,14.0,4.0,4.0,2.0,0.0,0.0,158.674,0.0,0.0,323.078,169.751,0.0,4913781.0,5.695,0.88,17.723,9.477,0.375,3.344,1.377,35.5652,1.8291,-1.87,0.004,-2.267,5.808,7.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.624,5.27,27.775,12.9139950622,Colorants,2
365,502.462,11.166,27.0,5.0,2.0,2.0,0.0,0.0,4.0,44.4,4.4,15.6,4.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37988.0,5.624,1.178,12.869,6.345,0.542,3.312,0.667,17.4825,2.34,-1.899,0.006,-2.075,4.747,7.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.202,2.173,4.72,12.9139950622,Colorants,2
366,416.411,9.915,22.0,4.0,2.0,1.0,0.0,0.0,2.0,47.6,4.8,11.9,4.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26179.0,5.079,0.973,7.373,3.397,0.729,3.251,0.8,19.1669,2.3164,-1.203,0.009,-1.929,4.731,7.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,2.278,5.188,12.9139950622,Colorants,2
367,432.57,7.724,16.0,4.0,3.0,1.0,0.0,0.0,1.0,37.5,5.4,8.9,3.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,74.959,0.0,0.0,144.812,0.0,0.0,17522.0,5.661,1.326,5.661,2.427,0.51,3.486,0.867,14.1124,2.0175,1.0,0.004,-2.129,4.712,7.866,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.693,3.231,10.44,12.9139950622,Colorants,2
368,100.0,25.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.625,0.811,0.0,0.0,0.0,0.811,0.0,3.0,10.4537,0.08,-333.0,-1.322,5.852,7.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.124,17.005,12.9139950622,Colorants,2
369,269.27,8.686,14.0,2.0,1.0,0.0,0.0,0.0,0.0,48.4,3.2,12.9,3.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7916.0,2.081,0.932,3.399,1.688,1.026,3.536,0.605,19.7197,2.4797,0.753,0.017,-1.856,4.012,7.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.103,1.764,3.112,3.161,Colorants,2
370,665.68,8.996,45.0,6.0,3.0,0.0,0.0,0.0,0.0,56.8,4.1,8.1,9.0,30.0,6.0,1.0,2.0,4.0,0.0,0.0,51.097,0.0,0.0,195.333,0.0,0.0,1424369.0,2.138,0.474,9.519,5.274,0.324,2.907,1.47,24.8565,1.2808,1.062,0.003,-2.303,4.193,7.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,3.368,11.345,46.916,Colorants,2
371,792.922,9.114,34.0,10.0,2.0,3.0,0.0,0.0,5.0,42.5,2.3,10.3,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99475.0,5.516,1.116,17.385,8.464,0.39,3.592,0.954,14.5908,1.7339,-1.81,0.003,-2.3,4.746,7.863,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.695,3.63,13.176,12.9139950622,Colorants,2
372,902.95,10.499,33.0,21.0,8.0,4.0,0.0,0.0,4.0,38.4,9.3,17.4,6.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484155.0,5.98,0.874,11.835,5.72,0.28,4.088,1.163,16.3927,1.3663,1.806,0.001,-3.101,4.756,7.78,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.573,-2.036,4.145,6.363,Colorants,2
373,331.34,8.719,20.0,2.0,1.0,0.0,0.0,0.0,0.0,52.6,2.6,10.5,4.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20116.0,2.097,0.609,4.15,2.082,0.676,3.006,0.779,17.879,2.0311,0.753,0.009,-1.856,4.016,7.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.926,2.732,7.464,11.253,Colorants,2
