,MW,AMW,nBM,nDB,nN,nS,nF,nCL,nHM,C%,N%,O%,nCIC,nCIR,Rbrid,nR05,nR09,nR10,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr11,D/Dtr12,Wap,MAXDN,LOC,X3v,X5v,Yindex,IC1,CIC3,J_D/Dt,J_Dz(Z),SM1_Dz(e),ChiA_Dz(p),SM1_Dz(p),SpMax_B(m),SpMax_B(s),nCp,nCq,nCrs,nCrt,nR=Cs,nR=Ct,nRCOOR,nRCONHR,nOHs,nROR,nArOR,nArX,Hy,MLOGP,MLOGP2,ALOGP2,Class,Label
10,496.55,7.759,18.0,1.0,0.0,0.0,0.0,0.0,0.0,42.2,0.0,14.1,5.0,11.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103161.0,3.143,0.889,7.176,3.859,0.63,3.747,0.528,23.2594,1.9953,1.169,0.006,-2.468,4.088,7.433,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.495,1.25,1.563,7.543,Antibacterial,0
11,484.541,9.889,15.0,4.0,6.0,2.0,0.0,0.0,3.0,36.7,12.2,10.2,4.0,5.0,1.0,1.0,0.0,0.0,0.0,65.026,96.392,0.0,132.974,0.0,0.0,0.0,26572.0,2.722,0.922,7.851,4.442,0.5,4.284,0.398,13.1847,1.8092,-0.996,0.005,-2.185,4.027,7.437,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.394,1.884,3.549,12.9139950622,Antibacterial,0
12,622.93,6.107,5.0,5.0,0.0,0.0,0.0,0.0,0.0,34.3,0.0,8.8,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27841.0,3.049,0.919,9.497,3.94,0.819,3.14,1.114,29.0265,2.6879,1.169,0.003,-2.468,3.674,7.433,9.0,0.0,8.0,3.0,6.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,1.331,2.414,5.826,22.562,Antibacterial,0
13,765.15,6.073,3.0,3.0,0.0,0.0,0.0,0.0,0.0,34.1,0.0,8.7,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,153.454,0.0,0.0,0.0,0.0,0.0,194546.0,2.623,1.016,14.774,7.583,0.406,2.773,1.198,15.9214,1.4713,1.312,0.002,-2.653,3.764,7.477,11.0,0.0,14.0,6.0,2.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.222,2.922,8.54,36.709,Antibacterial,0
14,564.492,10.08,16.0,5.0,6.0,1.0,0.0,0.0,3.0,35.7,10.7,16.1,4.0,5.0,1.0,1.0,0.0,0.0,0.0,79.75,118.491,0.0,164.353,0.0,0.0,0.0,36172.0,3.395,1.196,9.105,4.273,0.535,4.539,0.384,14.3062,1.8891,-1.741,0.004,-2.577,3.999,7.609,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.384,1.328,1.763,12.9139950622,Antibacterial,0
15,816.1,6.635,10.0,10.0,1.0,0.0,0.0,0.0,0.0,35.8,0.8,10.6,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,195.219,0.0,0.0,0.0,0.0,0.0,83524.0,3.286,0.849,11.511,4.755,0.547,3.544,0.934,26.3629,2.0624,1.469,0.002,-2.845,3.729,7.44,9.0,0.0,10.0,3.0,10.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,1.888,1.2,1.44,19.349,Antibacterial,0
16,718.8,7.487,6.0,6.0,4.0,0.0,0.0,0.0,0.0,31.3,4.2,16.7,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,162.617,0.0,0.0,0.0,0.0,0.0,78128.0,3.187,1.515,8.659,4.056,0.5,3.715,0.723,16.982,1.7823,1.704,0.002,-3.118,3.713,7.447,4.0,0.0,11.0,0.0,3.0,0.0,0.0,2.0,7.0,4.0,0.0,0.0,6.999,-3.758,14.12,20.556,Antibacterial,0
17,460.48,8.079,11.0,5.0,2.0,0.0,0.0,0.0,0.0,38.6,3.5,15.8,4.0,10.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48224.0,4.273,0.927,7.036,4.196,0.841,4.194,0.461,25.9958,2.1686,1.251,0.007,-2.565,4.005,7.451,1.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.964,-1.599,2.556,4.453,Antibacterial,0
18,550.62,7.866,2.0,2.0,4.0,1.0,0.0,0.0,1.0,24.3,5.7,20.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,102.171,0.0,0.0,0.0,0.0,0.0,21920.0,5.916,1.258,6.695,3.225,0.729,3.397,0.537,16.7044,2.2923,1.624,0.003,-2.986,4.713,7.775,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,10.801,-4.527,20.496,53.915,Antibacterial,0
19,1665.11,8.367,45.0,19.0,19.0,5.0,0.0,0.0,5.0,36.2,9.5,9.0,10.0,89.0,103.0,5.0,0.0,1.0,0.0,0.0,711.705,0.0,0.0,0.0,0.0,0.0,25018035.0,3.458,1.232,24.318,11.538,0.291,4.421,0.671,44.8898,1.2948,2.13,0.001,-3.467,4.241,7.455,10.0,0.0,13.0,1.0,7.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,11.165,-7.321,53.604,0.16,Antibacterial,0
20,457.05,7.372,1.0,1.0,2.0,1.0,0.0,1.0,2.0,29.0,3.2,11.3,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,96.091,0.0,0.0,0.0,0.0,0.0,6823.0,2.769,1.464,6.757,3.255,0.879,3.232,0.577,14.7228,2.4524,1.189,0.005,-2.304,3.778,7.427,2.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.766,-0.428,0.184,3.835,Antibacterial,0
