No.,MW,AMW,nBM,nDB,nN,nS,nF,nCL,nHM,C%,N%,O%,X%,nCIC,nCIR,Rbrid,nR05,nR09,nR10,D/Dtr03,D/Dtr04,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr11,D/Dtr12,BLI,CENT,ICR,Wap,MAXDN,LOC,X5v,Yindex,IC1,CIC1,CIC5,Chi_D/Dt,J_D/Dt,J_Dz(Z),SpPosA_Dz(e),SM1_Dz(e),ChiA_Dz(p),SpMax_B(m),SpMax_B(s),ATSC1m,ATSC1p,GATS7m,GATS8m,GATS6e,GATS7p,GATS7s,GATS8s,SpMax2_Bh(m),P_VSA_LogP_1,P_VSA_LogP_6,P_VSA_LogP_8,P_VSA_MR_8,P_VSA_v_3,P_VSA_v_4,P_VSA_s_1,SpDiam_EA(bo),SpMax_AEA(dm),SM13_EA(dm),SM09_AEA(dm),Eig02_EA(dm),nCq,nCrs,nCrt,nR=Cs,nR=Ct,nRCOOR,nArOH,nOHs,nROR,nArOR,nArX,C-005,C-006,C-011,C-019,C-026,C-028,C-034,H-046,H-048,H-049,H-051,H-052,H-053,O-060,O-061,N-075,F-083,SdCH2,SssCH2,StCH,StsC,SdssC,SaasC,SaaaC,SdNH,SsssN,StN,SaaNH,SaaO,SdsssP,SdS,SssS,SddssS,SsBr,NssssC,NsNH2,NdsN,CATS2D_04_DD,CATS2D_05_DD,CATS2D_07_DD,CATS2D_02_DA,CATS2D_04_DA,CATS2D_07_DA,CATS2D_01_DN,CATS2D_02_DL,CATS2D_01_AA,CATS2D_02_AA,CATS2D_03_AA,CATS2D_04_AA,CATS2D_05_AA,CATS2D_06_AA,CATS2D_07_AA,CATS2D_09_AA,CATS2D_05_AN,CATS2D_01_AL,CATS2D_02_AL,CATS2D_03_AL,CATS2D_06_AL,CATS2D_03_PL,CATS2D_05_PL,CATS2D_06_PL,CATS2D_08_PL,CATS2D_03_NL,CATS2D_06_NL,CATS2D_09_NL,CATS2D_03_LL,CATS2D_08_LL,T(N..S),T(N..P),T(N..Cl),T(N..Br),T(N..I),T(O..F),T(O..Cl),T(O..Br),T(S..S),T(S..P),T(S..Cl),T(S..Br),T(P..F),T(P..Cl),T(P..Br),T(F..Cl),T(F..Br),T(F..I),T(Cl..Cl),T(Cl..Br),T(Cl..I),T(Br..Br),F02[C-P],F02[C-Si],F02[N-N],F02[N-S],F02[O-S],F03[C-Si],F03[C-X],F03[N-O],F03[O-F],F03[O-X],F03[Cl-Cl],F04[N-N],F04[N-O],F04[O-O],F04[O-S],F04[O-Cl],F05[N-N],F05[N-F],F05[O-S],F05[O-F],F05[O-Cl],F06[C-X],F06[N-F],F06[O-F],F06[O-Cl],F07[N-N],F07[N-O],F07[O-S],F07[O-F],F08[C-S],F08[C-Cl],F08[N-N],F08[O-F],F09[O-O],F09[O-F],F09[O-X],F10[N-N],F10[N-O],F10[O-O],MLOGP2,ALOGP2,BLTF96,Class
11,496.55,7.759,18,1,0,0,0,0,0,42.2,0,14.1,0,5,11,3,0,0,3,0,0,0,0,0,0,0,0.864,2210,2.662,103161,3.143,0.889,3.859,0.63,3.747,2.253,0.371,3.489,23.2594,1.9953,4.205,1.169,0.006,4.088,7.433,12.857,6.639,0.945,1.165,1.01,1.046,0.915,1.029,3.889,48.242,0,0,0,139.618,0,0,7.797,3.873,0,0.504,1.151,0,4,1,0,0,0,1,2,1,2,0,2,0,1,0,4,0,0,3,0,0,0,6,0,3,0,0,0,0,0,0,0,-0.61,3.197,0.514,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,3,0,3,0,1,0,0,4,2,2,0,0,0,10,14,7,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1.563,7.543,-2.45,Antibacterial
12,484.541,9.889,15,4,6,2,0,0,3,36.7,12.2,10.2,0,4,5,1,1,0,0,0,65.026,0,132.974,0,0,0,1.063,1826,3.129,26572,2.722,0.922,4.442,0.5,4.284,1.33,0.342,1.884,13.1847,1.8092,5.517,-0.996,0.005,4.027,7.437,6.173,7.802,0.955,1.088,1.509,0.794,1.075,0.925,3.981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.943,4.622,11.291,0.515,3.264,0,1,0,1,1,0,0,1,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0.889,0,0,-0.688,1.015,0,0,1.374,0,0,0,0,0,2.79,0,0,0,0,0,0,0,0,1,0,0,0,1,3,5,2,0,4,2,6,2,0,0,4,5,6,0,0,0,0,0,0,0,3,3,52,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,4,0,1,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,2,4,0,0,3,0,0,0,2,0,1,2,0,0,3.549,NaN,-2.99,Antibacterial
13,622.93,6.107,5,5,0,0,0,0,0,34.3,0,8.8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1.062,4190,3.127,27841,3.049,0.919,3.94,0.819,3.14,3.533,0.63,1.935,29.0265,2.6879,6.261,1.169,0.003,3.674,7.433,25.655,10.744,0.98,1.029,1.219,1.022,0.945,1.044,3.806,101.193,0,0,0,172.449,0,0,6.255,3.897,0,0.77,1.216,0,8,3,6,2,1,0,3,3,0,0,2,0,0,1,0,0,0,29,0,0,0,3,2,1,0,0,0,0,0.628,0,0,0.997,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,3,3,0,8,0,1,3,0,1,2,1,1,0,0,7,11,13,0,0,0,0,0,0,0,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,5.826,22.562,-3.44,Antibacterial
14,765.15,6.073,3,3,0,0,0,0,0,34.1,0,8.7,0,5,5,0,1,0,0,0,0,0,0,0,0,0,1.094,7262,3.543,194546,2.623,1.016,7.583,0.406,2.773,4.204,0.606,1.647,15.9214,1.4713,7.872,1.312,0.002,3.764,7.477,32.367,13.768,0.991,1.05,1.03,1.064,0.969,1.201,3.862,97.077,0,0,0,144.884,0,0,6.206,4.246,11.432,1.489,2.178,0,14,6,2,0,0,0,2,5,0,0,0,0,2,0,0,0,0,35,0,0,3,17,4,0,0,0,0,0,5.294,0,0,-0.957,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,3,0,1,6,0,2,1,3,1,2,1,0,0,0,19,23,15,0,0,0,0,2,2,1,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,8.54,36.709,-3.87,Antibacterial
15,564.492,10.08,16,5,6,1,0,0,3,35.7,10.7,16.1,0,4,5,1,1,0,0,0,79.75,0,164.353,0,0,0,1.567,2824,3.136,36172,3.395,1.196,4.273,0.535,4.539,1.268,0.384,1.745,14.3062,1.8891,8.718,-1.741,0.004,3.999,7.609,6.835,164.104,0.827,1.02,1.201,1.235,0.807,1.235,3.942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.071,4.472,12.466,0.766,2.588,0,1,0,1,1,0,1,0,2,0,0,2,2,0,1,1,0,0,0,1,0,1,0,0,1,0,3,0,0,0.11,0,0,-3.878,0.361,0,0,1.051,0,0,0,0,0,1.227,0,0,1,0,0,0,0,1,2,2,3,0,3,3,7,5,4,7,8,14,4,0,0,7,7,6,0,0,0,0,0,0,0,4,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,5,0,1,0,0,2,4,1,0,0,0,2,0,0,5,0,0,0,2,9,1,0,2,0,0,0,1,0,1,2,3,6,1.763,NaN,-2.52,Antibacterial
16,816.1,6.635,10,10,1,0,0,0,0,35.8,0.8,10.6,0,3,3,0,1,0,0,0,0,0,0,0,0,0,1.003,9258,3.606,83524,3.286,0.849,4.755,0.547,3.544,3.398,0.555,1.758,26.3629,2.0624,8.288,1.469,0.002,3.729,7.44,29.168,12.665,0.966,1.018,1.136,1.069,0.843,0.964,3.838,101.193,0,0,0,216.257,0,0,6.457,3.905,0,1.648,1.674,0,10,3,10,2,2,0,2,3,0,0,2,0,0,3,0,0,0,29,0,0,2,5,2,2,0,0,0,0,0.589,0,0,-1.788,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,4,3,0,8,0,2,3,1,4,3,1,3,0,0,13,16,18,0,0,0,0,0,0,0,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,1.44,19.349,-2.41,Antibacterial
17,718.8,7.487,6,6,4,0,0,0,0,31.3,4.2,16.7,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0.91,6640,3.285,78128,3.187,1.515,4.056,0.5,3.715,2.87,0.315,1.602,16.982,1.7823,7.062,1.704,0.002,3.713,7.447,21.627,8.466,1.05,1.018,1.095,0.99,1.046,1.006,3.831,26.476,51.36,0,0,88.13,0,0,5.885,3.834,8.607,1.224,1.722,0,11,0,3,0,0,0,7,4,0,0,0,1,0,0,0,0,0,9,4,0,3,0,2,0,0,0,0,0,-0.844,0,0,-3.074,0,0,0,0.797,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,7,7,0,4,0,4,0,4,5,1,4,3,0,0,5,2,5,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,0,0,1,3,10,14.12,20.556,1.8,Antibacterial
18,460.48,8.079,11,5,2,0,0,0,0,38.6,3.5,15.8,0,4,10,3,0,0,3,0,0,0,0,0,0,0,0.84,1325,2.493,48224,4.273,0.927,4.196,0.841,4.194,1.638,0.426,3.611,25.9958,2.1686,4.031,1.251,0.007,4.005,7.451,11.047,5.394,1.104,1.134,1.246,0.826,1.138,1.026,3.882,25.618,0,0,0,81.761,0,0,7.389,4.381,8.345,-0.058,1.048,0,2,4,2,2,0,1,1,0,0,0,2,0,2,2,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,-7.562,-0.91,0,0,1.293,0,0,0,0,0,0,0,0,2,1,0,3,6,4,1,8,2,0,11,0,0,0,1,2,1,1,0,0,0,5,4,5,0,1,1,1,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,8,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,2,2.556,4.453,-0.03,Antibacterial
19,550.62,7.866,2,2,4,1,0,0,1,24.3,5.7,20,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0.98,2690,2.686,21920,5.916,1.258,3.225,0.729,3.397,2.733,0.2,1.758,16.7044,2.2923,5.016,1.624,0.003,4.713,7.775,20.259,5.915,0.987,1.021,0.953,1.144,0.869,1.013,3.885,0,23.542,0,0,8.402,0,3.043,6.424,5.174,0,0.377,1.392,0,13,0,0,0,0,0,5,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,-1.119,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.999,0,0,3,0,4,3,6,3,6,7,1,2,0,5,1,1,3,3,4,2,1,0,0,2,1,0,0,1,1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,1,4,6,0,0,0,0,1,0,0,0,0,0,0,0,9,2,0,3,0,2,0,8,0,0,1,3,10,20.496,53.915,2.46,Antibacterial
20,1665.11,8.367,45,19,19,5,0,0,5,36.2,9.5,9,0,10,89,103,5,0,1,0,0,0,0,0,0,0,0.979,49272,3.743,25018035,3.458,1.232,11.538,0.291,4.421,3.216,0.319,4.015,44.8898,1.2948,10.4,2.13,0.001,4.241,7.455,38.301,18.308,1.042,1.033,0.917,1.009,1.039,0.842,4.231,88.252,47.084,0,157.33,470.366,0,0,7.224,4.542,10.351,2.6,1.985,0,13,1,7,0,0,0,4,0,0,0,0,1,2,4,0,6,0,11,4,0,2,24,0,1,0,5,0,10.694,-0.077,0,0,-12.962,-1.518,0,0,0,0,0,0,0,0,1.055,0,0,2,1,2,2,0,3,11,4,8,0,14,0,1,8,2,13,9,6,10,0,0,9,15,24,1,0,1,0,0,0,0,9,15,987,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,18,0,0,0,3,4,1,6,0,1,0,5,0,0,0,0,0,0,6,9,7,0,25,0,2,0,1,0,0,9,16,6,53.604,0.16,-2.51,Antibacterial
