,No.,MW,AMW,nBM,nDB,nN,nS,nF,nCL,nHM,C%,N%,O%,X%,nCIC,nCIR,Rbrid,nR05,nR09,nR10,D/Dtr03,D/Dtr04,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr11,D/Dtr12,BLI,CENT,ICR,Wap,MAXDN,LOC,X5v,Yindex,IC1,CIC1,CIC5,Chi_D/Dt,J_D/Dt,J_Dz(Z),SpPosA_Dz(e),SM1_Dz(e),ChiA_Dz(p),SpMax_B(m),SpMax_B(s),ATSC1m,ATSC1p,GATS7m,GATS8m,GATS6e,GATS7p,GATS7s,GATS8s,SpMax2_Bh(m),P_VSA_LogP_1,P_VSA_LogP_6,P_VSA_LogP_8,P_VSA_MR_8,P_VSA_v_3,P_VSA_v_4,P_VSA_s_1,SpDiam_EA(bo),SpMax_AEA(dm),SM13_EA(dm),SM09_AEA(dm),Eig02_EA(dm),nCq,nCrs,nCrt,nR=Cs,nR=Ct,nRCOOR,nArOH,nOHs,nROR,nArOR,nArX,C-005,C-006,C-011,C-019,C-026,C-028,C-034,H-046,H-048,H-049,H-051,H-052,H-053,O-060,O-061,N-075,F-083,SdCH2,SssCH2,StCH,StsC,SdssC,SaasC,SaaaC,SdNH,SsssN,StN,SaaNH,SaaO,SdsssP,SdS,SssS,SddssS,SsBr,NssssC,NsNH2,NdsN,CATS2D_04_DD,CATS2D_05_DD,CATS2D_07_DD,CATS2D_02_DA,CATS2D_04_DA,CATS2D_07_DA,CATS2D_01_DN,CATS2D_02_DL,CATS2D_01_AA,CATS2D_02_AA,CATS2D_03_AA,CATS2D_04_AA,CATS2D_05_AA,CATS2D_06_AA,CATS2D_07_AA,CATS2D_09_AA,CATS2D_05_AN,CATS2D_01_AL,CATS2D_02_AL,CATS2D_03_AL,CATS2D_06_AL,CATS2D_03_PL,CATS2D_05_PL,CATS2D_06_PL,CATS2D_08_PL,CATS2D_03_NL,CATS2D_06_NL,CATS2D_09_NL,CATS2D_03_LL,CATS2D_08_LL,T(N..S),T(N..P),T(N..Cl),T(N..Br),T(N..I),T(O..F),T(O..Cl),T(O..Br),T(S..S),T(S..P),T(S..Cl),T(S..Br),T(P..F),T(P..Cl),T(P..Br),T(F..Cl),T(F..Br),T(F..I),T(Cl..Cl),T(Cl..Br),T(Cl..I),T(Br..Br),F02[C-P],F02[C-Si],F02[N-N],F02[N-S],F02[O-S],F03[C-Si],F03[C-X],F03[N-O],F03[O-F],F03[O-X],F03[Cl-Cl],F04[N-N],F04[N-O],F04[O-O],F04[O-S],F04[O-Cl],F05[N-N],F05[N-F],F05[O-S],F05[O-F],F05[O-Cl],F06[C-X],F06[N-F],F06[O-F],F06[O-Cl],F07[N-N],F07[N-O],F07[O-S],F07[O-F],F08[C-S],F08[C-Cl],F08[N-N],F08[O-F],F09[O-O],F09[O-F],F09[O-X],F10[N-N],F10[N-O],F10[O-O],MLOGP2,ALOGP2,BLTF96,Class,Label
1974,1975,117.17,6.167,0,0,1,0,0,0,0,26.3,5.3,10.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.065,30,0.954,174,1.625,0.875,0.456,2.215,2.035,2.213,1.303,2.081,8.3245,2.7156,1.612,0.489,0.043,3.416,7.236,5.056,1.441,0,0,0,0,0,0,3.032,18.40078477,10.07585933,12.86358422,11.05507456,21.793,0,0,5.191,3.553,1.69,0,0.86,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.222,13.7689722,1.82,Oxidizing Agent,5
1958,1959,219.951,18.329,3,3,3,0,0,2,3,25,25,25,16.7,1,1,0,0,0,0,0,0,0,0,0,0,0,1.048,76,1.483,496,2.579,1.124,0.557,1.858,3.085,0.5,0,1.815,10.8892,3.936,2.44,-1.205,0.026,4.014,7.448,2.542,27.228,0,0,5.884,0,0,0,3.6,18.40078477,10.07585933,12.86358422,11.05507456,107.7643159,1.104822269,0.8148919,6.189,3.96,8.05,0,1.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.052,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,13.7689722,-1.42,Oxidizing Agent,5
1925,1926,281.12,12.223,12,0,0,0,0,0,1,52.2,0,0,4.3,2,2,0,0,0,0,0,0,0,0,0,0,0,1.362,138,2.162,1164,1.031,0,2.412,0.928,1.548,2.976,1.652,2.113,9.8602,3.5315,2.454,0.011,0.047,10.778,4.505,0.507,1.985,0.053,0.043,1.128,0.333,1.198,0.986,3.729,18.40078477,10.07585933,12.86358422,11.05507456,98.082,43.693,0,6.572,3.309,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.476,13.7689722,-5.6,Oxidizing Agent,5
1902,1903,100.46,16.743,3,3,0,0,0,1,1,0,0,66.7,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.422,12,0.722,16,5.722,0.722,0,0,1.792,0.792,0,1,4,11.8455,0.551,0.787,0.183,5.1,8.068,0.467,0.338,0,0,0,0,0,0,1.914,18.40078477,10.07585933,12.86358422,11.05507456,0,0,0,7.162,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.598,13.7689722,1.74,Oxidizing Agent,5
1898,1899,172.57,10.786,7,1,0,0,0,1,1,43.8,0,18.8,6.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0.881,92,1.868,397,2.479,1.455,0.492,1.576,3,1,0,1.724,9.4828,3.3034,1.922,0.668,0.035,3.897,7.437,1.244,1.387,2.438,0,1.336,1.314,1.33,0,3.464,0,0,39.149,0,90.931,0,0,6.786,3.635,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.813,0.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.188,3.194,-3.33,Oxidizing Agent,5
1914,1915,293.893,24.491,1,1,0,0,0,0,4,0,0,50,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,8.544,80,1.371,115,8.703,1.371,59.226,3.392,3.085,0.5,1.396,1,9,19.5496,18.432,-2.42,0.115,11.377,7.806,39.056,255.615,0,0,1.185,0,0,0,3.522,18.40078477,10.07585933,12.86358422,11.05507456,107.7643159,1.104822269,0.8148919,7.677,5.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.373,13.7689722,2.35,Oxidizing Agent,5
1959,1960,353.19,12.614,8,8,4,0,0,0,2,21.4,14.3,25,0,2,2,0,2,0,0,0,0,0,0,0,0,0,1.327,415,2.215,2573,6.756,1.625,1.523,0.926,3.75,1.057,0.143,1.659,11.0592,3.9635,3.618,0.675,0.012,5.992,7.839,8.179,26.069,1.607,1.435,1.261,1.447,1.684,2.57,5.652,18.40078477,10.07585933,12.86358422,11.05507456,107.7643159,1.104822269,0.8148919,7.229,4.417,11.434,-1.503,1.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,9,0,0,0,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,5,0,6,0,1,0,9,0,0,1,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,131.677,13.7689722,-6.04,Oxidizing Agent,5
1936,1937,713.45,7.28,15,3,3,0,0,1,2,36.7,3.1,3.1,1,3,6,2,0,0,0,0,0,0,0,0,0,0,1.285,2786,2.81,64828,5.301,1.008,6.407,0.825,2.701,3.914,2.675,2.841,32.6676,3.2027,4.090693252,0.635739064,0.004,9.013,7.526,52.425,14.083,1.176,2.554,1.010017244,0.939,2.026,1.393,4.001,18.40078477,10.07585933,12.86358422,11.05507456,107.7643159,1.104822269,0.8148919,7.275,3.852,0,0.722,0.6,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,36,0,2,0,12,0,2,0,0,0,0,0,0,0,0,6.481,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,1,3,3,2,0,4,2,0,0,0,13,13,48,0,0,0,0,0,0,0,34,71,0,0,14,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,28.803,13.7689722,-5.95,Oxidizing Agent,5
1932,1933,634.84,8.696,38,2,0,0,0,0,3,49.3,0,5.5,0,6,6,0,0,0,0,0,0,0,0,0,0,0,1.246,3506,2.471,21248,6.318,0.332,16.386,0.536,1.862,4.328,3.077,1.706,11.6999,3.1379,5.776,-0.215,0.008,5.834,7.699,21.445,15.75,1.185,0.718,2.123,1.011,2.065,0.965,4.256,18.40078477,10.07585933,12.86358422,11.05507456,107.7643159,1.104822269,0.8148919,7.558,3.786,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,12,36,0,0,0,0,0,0,0,12,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.108,13.7689722,-6.13,Oxidizing Agent,5
1971,1972,56.305,18.768,0,0,0,0,0,0,1,0,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.549,2,0.918,4,0.971,0.918,0,0,1.585,0,0,1,2,2.7506,0.89,-0.464,0.183,3.117,7.335,0.159,10.335,0,0,0,0,0,0,1.661,18.40078477,10.07585933,12.86358422,11.05507456,107.7643159,1.104822269,0.8148919,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.523,13.7689722,0.42,Oxidizing Agent,5
1899,1900,343.306,21.457,9,9,0,0,0,3,4,0,0,75,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.372,290,2.25,489,6.251,2,0.923,1.989,2.656,1.344,0.375,1,15,14.1361,2.024,1.062,0.009,5.185,7.909,7.654,8.116,2.225,0.045,2.437,1.207,2.173,0.302,5.097,18.40078477,10.07585933,12.86358422,11.05507456,107.7643159,1.104822269,0.8148919,8.106,3.269,0,-1.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,12,1,18,6,0,0,0,12,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,54.345,13.7689722,-2.56,Oxidizing Agent,5
1893,1894,350.47,7.788,3,3,1,0,0,0,1,26.7,2.2,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.692,448,2.197,683,5.933,2.197,1.885,1.962,2.072,3.42,1.879,1,17,5.2613,4.090693252,0.635739064,0.012,9.395,7.963,28.556,7.713,1.492,2.104,1.010017244,1.509,0.591,2.348,3.817,18.40078477,10.07585933,12.86358422,11.05507456,107.7643159,1.104822269,0.8148919,7.2,3.693,2.46,-1.802,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,6,2,0,0,0,0,0,8.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,3,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.041,13.7689722,1.91,Oxidizing Agent,5
1874,1875,262.45,23.859,6,6,0,0,0,2,3,0,0,72.7,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.313,90,1.823,166,6.024,1.686,0.43,2.366,2.732,0.727,1.307,1,10,13.6715,1.356,1.1,0.02,5.699,7.909,7.643,2.479,0,0,5.624,0,0,0,5.094,18.40078477,10.07585933,12.86358422,11.05507456,107.7643159,1.104822269,0.8148919,8.04,3.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,6,0,9,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.913,13.7689722,3.34,Oxidizing Agent,5
1965,1966,232.355,38.726,3,3,0,0,0,1,2,0,0,66.7,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.894,20,0.918,28,5.106,0.918,0,5.184,2.252,0.333,0,1,5,15.2355,3.148,-2.425,0.149,11.192,7.907,16.903,269.951,0,0,0,0,0,0,5.032,18.40078477,10.07585933,12.86358422,11.05507456,107.7643159,1.104822269,0.8148919,7.826,3.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.598,13.7689722,1.74,Oxidizing Agent,5
1926,1927,240.12,12.006,8,2,1,1,0,2,3,35,5,10,10,1,1,0,0,0,0,0,0,0,0,0,0,0,1.268,142,1.988,557,4.646,1.384,1.257,1.589,3.084,1.238,0.838,1.551,10.084,4.9811,2.122,0.752,0.04,4.787,7.716,2.044,2.027,1.07,4.726,1.884,0.098,2.991,1.397,3.802,8.825,77.619,0,77.619,134.893,0,5.807,7.752,4.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0.15,0,0,0,0,0,0,-3.729,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,10,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.042,7.422,-2.6,Oxidizing Agent,5
1884,1885,430.18,23.899,9,9,0,0,0,3,4,0,0,72.2,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.965,368,1.851,524,6.346,1.732,6.366,2.458,2.461,1.709,1.427,1,16,25.9239,2.377,1.515,0.017,9.917,8.025,24.214,8.467,0.252,0.191,0.213,0.058,0.053,2.535,5.06,18.40078477,10.07585933,12.86358422,11.05507456,107.7643159,1.104822269,0.8148919,7.869,3.263,0,-1.892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,21,0,18,0,27,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,18,0,0,0,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.12,13.7689722,-3.85,Oxidizing Agent,5
1934,1935,257.59,23.417,6,6,0,0,0,2,3,0,0,72.7,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.321,90,1.823,166,6.017,1.686,0.435,2.366,2.732,0.727,1.307,1,10,13.6582,1.36,1.09,0.02,5.429,7.909,7.146,2.743,0,0,5.624,0,0,0,5.081,18.40078477,10.07585933,12.86358422,11.05507456,107.7643159,1.104822269,0.8148919,8.04,3.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,6,0,9,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.913,13.7689722,3.34,Oxidizing Agent,5
1907,1908,227.95,18.996,1,1,0,0,0,0,1,0,0,50,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.352,30,0.592,36,8.72,0.592,0,0,1.65,1.935,0,1,6,29.4823,1.072,0.912,0.189,11.396,7.641,15.316,2.899,0,0,0,0,0,0,1.971,18.40078477,10.07585933,12.86358422,11.05507456,0,0,0,7.483,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.373,13.7689722,2.35,Oxidizing Agent,5
1877,1878,158.941,19.868,3,3,0,0,0,0,2,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.976,32,1.379,44,5.237,1.379,0,4.096,2.75,0.25,2.25,1,6,13.5306,1.954,-1.368,0.13,6.178,7.734,4.455,57.546,0,0,0,0,0,0,2.686,18.40078477,10.07585933,12.86358422,11.05507456,107.7643159,1.104822269,0.8148919,7.863,3.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.081,13.7689722,2.78,Oxidizing Agent,5
1969,1970,126.92,21.153,2,2,0,0,0,2,2,33.3,0,33.3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.075,16,0.918,29,2.809,0.918,0,3.971,1.585,1,0,1,5,4.8798,1.213,0.649,0.126,4.009,7.513,3.045,0.171,0,0,0,0,0,0,3.458,0,78.297,0,78.297,89.194,0,0,5.236,4.03,0,0,1.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.524,-1.11,Oxidizing Agent,5
1911,1912,229.33,7.644,2,2,1,1,0,0,1,33.3,3.3,10,0,4,10,4,3,2,1,12.062,0,0,34.269,76.187,0,0,1.198,168,1.522,5210,4.04,0.769,5.594,1.415,2.595,2.312,0.917,4.102,14.7686,2.3447,2.269,0.667,0.028,4.733,7.714,9.927,3.631,0,0,5.392,0,0,0,3.913,17.65,0,0,0,31.961,0,5.807,6.705,5.068,10.844,-1.785,0,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,3.407,0,0,0,0,0,0,1.306,0,0,0,0,0,0,-3.123,0,3,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.082,1.104,-2.88,Oxidizing Agent,5
1928,1929,322.11,12.389,8,2,0,0,0,0,1,38.5,0,15.4,3.8,1,1,0,0,0,0,0,0,0,0,0,0,0,1.413,261,1.933,765,3.299,1.805,2.357,1.365,2.903,1.797,1.212,1.42,10.6513,5.4157,2.614,0.692,0.023,10.883,7.437,6.409,3.805,0.089,0.039,0.984,0.32,1.603,0.478,3.723,18.40078477,10.07585933,12.86358422,11.05507456,81.074,35.2,35.2,6.561,3.704,11.744,-2,2.341,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,-0.851,0.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,2,4,6,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.332,13.7689722,-3.35,Oxidizing Agent,5
1889,1890,320.18,9.702,3,3,1,0,0,0,1,24.2,3,12.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.919,188,1.842,332,5.973,1.842,0.968,2.125,2.068,2.976,2.041,1,13,5.5987,2.839,0.759,0.018,11.354,7.958,23.633,4.042,4.24,0.234,1.007,3.597,3.951,5.851,3.778,18.40078477,10.07585933,12.86358422,11.05507456,39.491,23.552,23.552,7.2,3.681,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,3,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.81,13.7689722,2.39,Oxidizing Agent,5
